
[00:00:00.000 --> 00:00:02.000]   Parson
[00:26:12.260 --> 00:26:15.220]   Okay, that makes sense. Yeah, no, yeah, that makes sense
[00:26:15.220 --> 00:26:19.940]   From the standpoint of you're spreading it out as opposed to focusing it in
[00:26:19.940 --> 00:26:23.780]   Um, and so like here's another question. So that that answers that
[00:26:23.780 --> 00:26:26.660]   Um, now, um, I did we did get questions about
[00:26:26.660 --> 00:26:30.820]   Uh, if I choose my home and there's food and water in my home
[00:26:30.820 --> 00:26:35.620]   Because I'm personally compulsive about charging all my food and water with my my eye block
[00:26:35.620 --> 00:26:40.340]   Um, it's not the same then right it's not getting that concentrated charge. So
[00:26:41.460 --> 00:26:48.820]   You know, like if the food and the water in my home, um, it's not charged like you would put it in a block
[00:26:48.820 --> 00:26:54.740]   That is correct. It's it's not the same. There is a benefit though. There's going to be a benefit
[00:26:54.740 --> 00:26:58.660]   If you have the home service, there's there's going to be a benefit for everything that's in your home
[00:26:58.660 --> 00:27:02.500]   And by the way also for your plants on your property even
[00:27:02.500 --> 00:27:06.660]   Uh, they will get the benefit of that but indeed if you wanted to
[00:27:08.340 --> 00:27:11.860]   You know, I don't want to get into these food allergy things too much, but
[00:27:11.860 --> 00:27:19.540]   You know, let's take this example of touch shipment with his crab meat that he charges for six minutes in the and the infinity block
[00:27:19.540 --> 00:27:21.540]   right so
[00:27:21.540 --> 00:27:25.380]   That is something that doesn't work with a home service. So you would literally have to
[00:27:25.380 --> 00:27:28.580]   Have a block for that and
[00:27:28.580 --> 00:27:33.780]   Yeah, it's that it's just different. Okay. Yeah, so it's very different
[00:27:33.860 --> 00:27:38.420]   So that yeah, the home service doesn't also doesn't charge anything permanently
[00:27:38.420 --> 00:27:40.900]   And so we had this question also come up
[00:27:40.900 --> 00:27:46.740]   The home service does not everything get charged permanently. No, that doesn't happen and that's just
[00:27:46.740 --> 00:27:52.340]   The way it's programmed and working. It just doesn't do that. So if you want to charge something
[00:27:52.340 --> 00:27:58.180]   You would have to use a block. Okay. No, no, that's good. That's good to know. We'll get we have a whole slide on that
[00:27:58.180 --> 00:28:02.100]   So all right. So next question then was from a military individual
[00:28:02.100 --> 00:28:05.220]   Who basically lives on a base?
[00:28:05.220 --> 00:28:11.540]   Then they got apo fpo addresses for military folks. So what if I don't have a physical address
[00:28:11.540 --> 00:28:16.660]   Um, then the suggestion and but they live they have a like they live in a barracks
[00:28:16.660 --> 00:28:21.300]   But their address is you know, but it doesn't have an address or there's another person that said
[00:28:21.300 --> 00:28:23.700]   um, I live
[00:28:23.700 --> 00:28:27.540]   It's um, I think there was like their grandparent or somebody, but they live
[00:28:27.540 --> 00:28:33.620]   Uh in one place, but their address it's like one of those uh farm farm addresses, right?
[00:28:33.620 --> 00:28:37.620]   Where they don't have an actual address for the farm. They have their mailing addresses
[00:28:37.620 --> 00:28:41.060]   You know in town kind of thing, but it doesn't have an address
[00:28:41.060 --> 00:28:44.580]   Can they sign up something that doesn't have an address?
[00:28:44.580 --> 00:28:48.420]   And but it's uh
[00:28:48.420 --> 00:28:50.420]   You would need to reach out to us
[00:28:50.420 --> 00:28:56.100]   Individually and we could we could run a test with some specifically then that that's something I would recommend
[00:28:56.100 --> 00:28:58.100]   So if you're on a military base
[00:28:58.100 --> 00:29:06.580]   You know, then you you probably have a specific room you're in and I don't know if you're with other people in the same room
[00:29:06.580 --> 00:29:11.460]   If you are maybe you have a bed number or you could define that's the
[00:29:11.460 --> 00:29:18.660]   Lore bed on the ride or something like that. So you if you could work it by putting in all these
[00:29:19.380 --> 00:29:26.260]   Identifying identifiers that would probably work with someone that just lives somewhere with no address whatsoever
[00:29:26.260 --> 00:29:32.740]   I honestly don't know what to do with that at this point. So maybe we could try to work with a longitude and
[00:29:32.740 --> 00:29:36.100]   And all that but yeah, oh that was the we would have to test that
[00:29:36.100 --> 00:29:39.700]   Yeah, that was the question is whether or not you could work with longitude and latitude. Okay
[00:29:39.700 --> 00:29:43.460]   Yeah, because I've had friends I worked up on nor slope and they lived in barracks
[00:29:43.460 --> 00:29:46.580]   And but their addresses were like back in anchorage, right?
[00:29:46.580 --> 00:29:52.900]   But they you know, I've had like my father did the same thing. So he was military. So yeah, okay, so for you guys that
[00:29:52.900 --> 00:29:55.700]   have a physical residence that
[00:29:55.700 --> 00:30:00.580]   Doesn't have like a mailing address and use the physical residence address, right?
[00:30:00.580 --> 00:30:03.460]   Barracks 14 room 12 right whatever
[00:30:03.460 --> 00:30:07.460]   But and you know like elmendorf arm air force base, whatever, right?
[00:30:07.460 --> 00:30:11.060]   And then that that should help, but I guess you'll have to contact
[00:30:11.060 --> 00:30:17.060]   Choose the use service in this case, right? You know, so right right do that. Okay. All right, so keep that in mind
[00:30:17.060 --> 00:30:18.660]   Okay
[00:30:18.660 --> 00:30:20.660]   All right, so talk about the cell phone
[00:30:20.660 --> 00:30:29.220]   Some clarification questions about the cell phone is is it tied to the number like the sim card or to the physical device?
[00:30:29.220 --> 00:30:33.060]   To the number to the actual phone number
[00:30:33.060 --> 00:30:38.420]   100 percent of the number it does not it does not matter if you turn off the phone or turn on the phone
[00:30:38.420 --> 00:30:42.820]   It works either way, but as soon as you put the sim card in a different
[00:30:42.820 --> 00:30:46.580]   in a different phone
[00:30:46.580 --> 00:30:52.580]   Because you change it then the new phone will be the one that is getting the benefit. All right. All right, that's clear
[00:30:52.580 --> 00:30:55.060]   So the device that has the number
[00:30:55.060 --> 00:31:00.100]   Assigned to it. So then there's this other question then down here, which was somebody asked about
[00:31:00.100 --> 00:31:06.660]   Like I used to have ipad iphone so I could take phone calls on my ipad right because it was tied to my phone. So
[00:31:07.380 --> 00:31:09.380]   Can you sign up an ipad?
[00:31:09.380 --> 00:31:14.180]   Or if I signed up my phone and I took calls on my ipad. Does that include my ipad?
[00:31:14.180 --> 00:31:20.340]   Sorry, I was actually one of course. That's a good question. So I actually don't know the answer as long as the sim card
[00:31:20.340 --> 00:31:25.140]   Wherever the sim card is in okay in which device that device
[00:31:25.140 --> 00:31:32.340]   Now if if there's a way then that you have a phone where the sim card is in and it's also tied to
[00:31:34.260 --> 00:31:37.380]   An ipad and that rings as well. I
[00:31:37.380 --> 00:31:42.580]   Um, well a shame on me. I don't know that because they used to work at T-Mobile, but
[00:31:42.580 --> 00:31:47.300]   Honestly, I don't I don't we would need to test that
[00:31:47.300 --> 00:31:48.740]   Yeah, oh yeah
[00:31:48.740 --> 00:31:53.380]   I guess the key thing though is that the sim cards in the phone not in the and the tablet even though the tablets
[00:31:53.380 --> 00:31:58.660]   You know, uh, it's synced up. So it would definitely be the phone and then of course to be determined
[00:31:59.140 --> 00:32:02.100]   Through testing, but right now it's just your phone
[00:32:02.100 --> 00:32:07.380]   Uh, and then so and then I guess the question there was like, hey, you know, if I carry my phone around all the time
[00:32:07.380 --> 00:32:09.700]   And I'm subscribed myself to it
[00:32:09.700 --> 00:32:14.100]   That my phone automatically is because it's right. I'm holding it. I think we covered that
[00:32:14.100 --> 00:32:16.900]   Um, and it's it yes, but not the same, right?
[00:32:16.900 --> 00:32:21.220]   Uh, okay. So then the other question was is does the phone have to be turned on
[00:32:21.220 --> 00:32:29.060]   To receive the the signal that the and the the entered de quantum energy or is it because I was actually a couple of people
[00:32:29.140 --> 00:32:31.140]   Last I question whether it needed to be turned on or not
[00:32:31.140 --> 00:32:36.660]   No, it can be off. It's no problem. Okay. So it's going to be aiming towards that phone at all times
[00:32:36.660 --> 00:32:40.180]   Okay, so then, uh, under the business one, um
[00:32:40.180 --> 00:32:44.580]   Well, several questions about that and I kind of just summed it up in four bullets here
[00:32:44.580 --> 00:32:49.060]   Uh, but like one of the one one of the first questions about I want to sign up my business
[00:32:49.060 --> 00:32:51.620]   So what you know, what is a business came up?
[00:32:51.620 --> 00:32:53.460]   And there's a lot of questions about what is that?
[00:32:53.460 --> 00:32:58.500]   So I guess the first question I want to ask before I get into the actual bullets is what is a business?
[00:32:58.980 --> 00:33:02.580]   Um, and so let me give you examples there are people that have side hustles
[00:33:02.580 --> 00:33:07.060]   Um, there's people that like do multiple side hustles, right?
[00:33:07.060 --> 00:33:12.980]   There's people that work for a company. There's people that own a company. There's people that are partners of a company
[00:33:12.980 --> 00:33:21.540]   Um, people that are just employees of a company. So let's let's let's dig this out one at a time. So let's say who okay, so
[00:33:21.540 --> 00:33:24.660]   Who can sign up?
[00:33:25.140 --> 00:33:29.140]   A company like if I work for bank of america or general electric, right?
[00:33:29.140 --> 00:33:32.740]   Can I just know i'm an employee. Can I sign up my company?
[00:33:32.740 --> 00:33:41.220]   No, okay, so that's for our, um, rules that is not possible for a very good reason because a business
[00:33:41.220 --> 00:33:46.580]   Is owned by someone or multi-year holders. Yep. Uh, yes
[00:33:46.580 --> 00:33:52.260]   And so whoever owns a business or and or is
[00:33:52.900 --> 00:33:59.460]   An authorized representative to make a decision for the business can sign up a business and here
[00:33:59.460 --> 00:34:04.660]   We're talking about a registered entity, right? Uh, anywhere in the world
[00:34:04.660 --> 00:34:11.940]   That's what we're talking about. So if you know if you have a fitness studio and you know, that's yours
[00:34:11.940 --> 00:34:17.300]   You can sign it up if you're the general manager for a fitness studio somewhere
[00:34:17.780 --> 00:34:23.220]   You're making business decisions to you know to make sure that your business is going well and all of that and you
[00:34:23.220 --> 00:34:27.860]   You do these things right you make these decisions then you can sign up
[00:34:27.860 --> 00:34:33.700]   If you're just there as a fitness trainer and but you're not the decision maker actually
[00:34:33.700 --> 00:34:38.420]   Then you cannot sign it up. That's that's not what should be possible because
[00:34:38.420 --> 00:34:44.740]   That would interfere with the ones actually being responsible for the business
[00:34:45.940 --> 00:34:52.980]   However, so if you have and but you could so do the use service for yourself right and things like that and and you know
[00:34:52.980 --> 00:34:58.500]   Even with a specific location, you could probably do the home service for a specific
[00:34:58.500 --> 00:35:04.020]   And if you were working at a fast food place for example, that has a specific address
[00:35:04.020 --> 00:35:08.260]   You could choose the home service as long as you keep it at the
[00:35:08.260 --> 00:35:10.820]   um at the default levels
[00:35:10.820 --> 00:35:12.580]   just out of
[00:35:12.580 --> 00:35:15.540]   Respect to everyone else, but that would certainly be
[00:35:15.940 --> 00:35:17.780]   Just to the benefit
[00:35:17.780 --> 00:35:21.220]   However, if you have side hustles that are not
[00:35:21.220 --> 00:35:25.860]   Registered as a business you could still leverage the business service
[00:35:25.860 --> 00:35:29.300]   And how do you do that you would just need to?
[00:35:29.300 --> 00:35:37.780]   Describe it or define it in a way that it it uniquely identifies it meaning, you know
[00:35:37.780 --> 00:35:44.260]   If you had if you were a taxi driver and just side hustle then you could say
[00:35:44.820 --> 00:35:46.820]   um k elmers
[00:35:46.820 --> 00:35:49.140]   um
[00:35:49.140 --> 00:35:53.380]   Taxi driving service or something like that or you know your
[00:35:53.380 --> 00:35:59.380]   Uber side hustle or whatever this is we had someone asked who you know
[00:35:59.380 --> 00:36:04.980]   Is about to write a book and become an author, but it's not really a
[00:36:04.980 --> 00:36:12.660]   Registered business yet. So here you can maybe start with the use service
[00:36:12.660 --> 00:36:15.700]   But if you really want to focus on the business activity
[00:36:15.700 --> 00:36:20.020]   Again, you can you can just say, you know, this is
[00:36:20.020 --> 00:36:22.820]   Sarah Smith
[00:36:22.820 --> 00:36:27.220]   Venture to write a book or to
[00:36:27.220 --> 00:36:29.700]   author a book
[00:36:29.700 --> 00:36:35.140]   Something like that that defines it. So that's fine because the energy then arrives at this
[00:36:35.140 --> 00:36:38.500]   Specific activity and and supports that
[00:36:39.620 --> 00:36:42.580]   Okay. All right. So the key is that you have to be
[00:36:42.580 --> 00:36:44.900]   uh an official
[00:36:44.900 --> 00:36:50.820]   Person of that has official responsibility for that that you know business entity
[00:36:50.820 --> 00:36:57.460]   Um, and uh to sign up you can definitely sign up your side hustle whether it has a name or not
[00:36:57.460 --> 00:36:59.300]   You can just say calmers
[00:36:59.300 --> 00:37:03.940]   Uh, side hustle, right if you got multiple like your door dash uber and you don't have to name them one at a time
[00:37:03.940 --> 00:37:07.540]   You just say uh calmer side hustles, right? Okay. So that's good to know
[00:37:08.100 --> 00:37:15.940]   So then the other questions about businesses is uh, uh, if somebody owns, let's say, um, you know, uh, a bunch of you know
[00:37:15.940 --> 00:37:18.260]   like four or five uh different
[00:37:18.260 --> 00:37:23.060]   Locations like they you know, they have a subway franchise and they have five or six
[00:37:23.060 --> 00:37:24.500]   Um
[00:37:24.500 --> 00:37:26.980]   But the subway franchise has a business name
[00:37:26.980 --> 00:37:30.020]   So it doesn't matter if it has more than one locations
[00:37:30.020 --> 00:37:36.740]   You would just sign up the business name by which your franchise is it signed up for? That is correct. Okay, absolutely
[00:37:36.740 --> 00:37:43.940]   So it doesn't matter if it's more than one location. Okay. Now what about, um, the you know, you had mentioned and when we talked two weeks ago
[00:37:43.940 --> 00:37:47.140]   About how you went, you know, what's the point?
[00:37:47.140 --> 00:37:54.340]   You know, what's the purpose of bit signing up a business and and it helps, you know, bring harmony to the business and and it helps with employees and
[00:37:54.340 --> 00:37:58.900]   And harmonizing, um, employee, you know, performance and productivity and all that
[00:37:58.900 --> 00:38:01.620]   So there was a question of i'm sorry
[00:38:01.620 --> 00:38:04.180]   So there was a question about
[00:38:04.980 --> 00:38:11.380]   What about remote employees? I mean, does it have to be if I sign up my business, but i've got remote employees all over the place
[00:38:11.380 --> 00:38:15.620]   Does it help those employees or just the employees within the physical
[00:38:15.620 --> 00:38:21.300]   Confines of the like the physical business, you know, but you know now we got such a thing nowadays, right?
[00:38:21.300 --> 00:38:25.700]   With this remote worker and brick and mortar offices and everyone spread out
[00:38:25.700 --> 00:38:29.540]   So it doesn't matter if people are spread out if they're still cool employees
[00:38:30.340 --> 00:38:36.100]   Right. No, it does not matter at all actually because the business is not the business service
[00:38:36.100 --> 00:38:39.620]   It's not tied to a specific physical location like the home
[00:38:39.620 --> 00:38:46.980]   It's literally tied to the business itself and the business is you can think of it like as an energetic bundle
[00:38:46.980 --> 00:38:48.900]   and
[00:38:48.900 --> 00:38:53.620]   Any remote employee and and even to an extent, you know, uh
[00:38:53.620 --> 00:38:57.300]   Contractors that work on a regular basis for a business
[00:38:58.100 --> 00:39:02.820]   You know they're part of this energy grid if you will and so
[00:39:02.820 --> 00:39:08.020]   So it's it's all included, but it's but it works different than the use service
[00:39:08.020 --> 00:39:12.100]   So an employee that works at a company that has the business service
[00:39:12.100 --> 00:39:18.980]   Doesn't get the same energy at all that the employee would get through the use service, but there is
[00:39:18.980 --> 00:39:24.420]   energetic support there's energetic, but it's all about the business
[00:39:25.460 --> 00:39:29.620]   and as this as a side effect positive side effects the
[00:39:29.620 --> 00:39:35.780]   The employees get benefits and it's hard to tell sometimes, you know, how this
[00:39:35.780 --> 00:39:42.020]   How this plays out like we have multiple companies that we actually looked in more deeply now
[00:39:42.020 --> 00:39:44.660]   what is what is happening and
[00:39:44.660 --> 00:39:53.140]   There's definitely one company where suddenly this this startup mentality kind of came back to this business and inspiration
[00:39:53.620 --> 00:39:58.900]   uh to this business and then that actually translated to the employees as well that suddenly
[00:39:58.900 --> 00:40:02.820]   um found more sense again and what they were doing and
[00:40:02.820 --> 00:40:05.380]   And it was more this, you know
[00:40:05.380 --> 00:40:12.340]   Movement forward. Wow. No, let's let's do things again. Let's get into activity. So that's kind of what happens. So
[00:40:12.340 --> 00:40:14.980]   And it was like a more positive
[00:40:14.980 --> 00:40:21.380]   Environment that everyone really felt relatively quickly this happened already within a couple of days
[00:40:22.100 --> 00:40:28.740]   And and that's it's difficult to describe but it works actually is very very profound what is happening with the business
[00:40:28.740 --> 00:40:35.220]   And it works towards success and prosperity frankly and expansion and expansion. I don't mean this really in this
[00:40:35.220 --> 00:40:42.740]   Greedy way of expansion, right? That's how you know, we've all learned it like in in the old world
[00:40:42.740 --> 00:40:50.180]   For the business, you know, we need to experiment or money and accumulate and accumulate and no matter what it costs and everything else doesn't matter
[00:40:51.140 --> 00:40:58.340]   That's not at all what that means. It means a really healthy expansion of what the business is doing and
[00:40:58.340 --> 00:41:01.460]   and and that is
[00:41:01.460 --> 00:41:03.220]   That's where
[00:41:03.220 --> 00:41:06.740]   Really the rubber means of road if there's a business with
[00:41:06.740 --> 00:41:09.380]   good intentions and there's something
[00:41:09.380 --> 00:41:15.460]   That is beneficial, right? It all gets supported in a very nice
[00:41:15.460 --> 00:41:18.340]   constantly expansive
[00:41:18.340 --> 00:41:20.020]   manner and where
[00:41:20.020 --> 00:41:26.100]   There's just this bubble just becomes bigger and gets more support and and indeed works to more
[00:41:26.100 --> 00:41:30.900]   Prosperity and success and and expansion in that sense
[00:41:30.900 --> 00:41:33.460]   however, if there's a business
[00:41:33.460 --> 00:41:41.220]   That that signs up for this that is having evil intentions or is just working to manipulate others
[00:41:44.180 --> 00:41:48.580]   Then these then there will only be transformation because these things
[00:41:48.580 --> 00:41:53.460]   They can't stand in the in the in the pure quantum field
[00:41:53.460 --> 00:42:00.180]   It's just they they lose their power and and by itself this business would need to transform itself
[00:42:00.180 --> 00:42:08.340]   That is also one of the reasons why you can't sign up for I don't know like your McDonald's for example or Coca-Cola, right?
[00:42:08.500 --> 00:42:13.700]   Even you know, we may want that all these companies suddenly transform and all of that
[00:42:13.700 --> 00:42:19.620]   But that's something you know, we we need to leave these things up to the universe and to the people that are responsible
[00:42:19.620 --> 00:42:24.740]   What we can do is we can build the new and that's what we're doing and everyone that is
[00:42:24.740 --> 00:42:29.300]   Doing good things and I'm talking here about more conscious businesses, right?
[00:42:29.300 --> 00:42:35.700]   Yeah, we're building the new in the quantum field and people that choose to use this
[00:42:36.260 --> 00:42:40.900]   They will get this boost and they will get the benefit and with that we're building the new we don't need to
[00:42:40.900 --> 00:42:46.980]   Transform the old it'll that'll happen on its own right now. I think that's a good point because
[00:42:46.980 --> 00:42:53.540]   You know for those of you and following Philip for as long as I have I mean the and all of the quantum healing stuff
[00:42:53.540 --> 00:42:55.620]   I mean at the end of the day
[00:42:55.620 --> 00:42:58.260]   All of this is driven by consciousness and intent
[00:42:58.260 --> 00:43:05.300]   And it taps into this energy source at which amplifies that and one of the things about if you have negative intent
[00:43:05.860 --> 00:43:12.100]   It's not going to go anywhere because that's not the natural order of things right natural order of things is harmony
[00:43:12.100 --> 00:43:17.860]   So I would say that the best words to use for what the what the service will do for businesses
[00:43:17.860 --> 00:43:21.620]   Is it'll help it thrive and it'll help it reach prosperity
[00:43:21.620 --> 00:43:28.660]   And that's all it will do and it's not gonna it's you money might not even be the way you measure prosperity
[00:43:28.660 --> 00:43:33.060]   Right. So yeah, that's a really great description. Thank you. That really clarifies something
[00:43:33.060 --> 00:43:36.660]   So I do have a question though for for myself
[00:43:36.660 --> 00:43:43.860]   I work for a very large company and I work on projects and so
[00:43:43.860 --> 00:43:49.940]   I am at a level where I could sign up the by your definition. I could sign up my company
[00:43:49.940 --> 00:43:54.580]   You know, I have the authority to do that. I'm whatever. I won't get into it
[00:43:54.580 --> 00:43:59.460]   But I could sign up my company and have representative authority to do so
[00:44:00.820 --> 00:44:04.180]   But I'm more interested. You know, there's a few thousand of us
[00:44:04.180 --> 00:44:06.820]   I'm more interested in like is there a way I could like like
[00:44:06.820 --> 00:44:11.700]   Send energy to my project and to all of the people that are working on a project
[00:44:11.700 --> 00:44:17.780]   You know, there's dozens of us and and just having like this specific project within a company. Yes
[00:44:17.780 --> 00:44:24.820]   Oh, how much is that? I think that's actually a great idea. I had not thought about that before but it's absolutely clear that you can do that
[00:44:24.820 --> 00:44:29.620]   You would just need to define the project. Well, you know, if it has a project name
[00:44:30.420 --> 00:44:32.100]   And all that stuff. Yeah
[00:44:32.100 --> 00:44:37.220]   Yes, so I would say I would just identify it by my company's name and then the name of the project
[00:44:37.220 --> 00:44:42.180]   And say yeah, I want this project to go. Well, it's uh, I mean we're like in year four
[00:44:42.180 --> 00:44:46.980]   Got two more years to go, you know, but you know, I want this, you know, and you know, I just you know
[00:44:46.980 --> 00:44:51.700]   Cause man, I'll tell you you know that these these giant projects that last six years
[00:44:51.700 --> 00:44:56.980]   You know, I just you know, bring some energy into it and you know revitalize everybody and you know
[00:44:56.980 --> 00:45:00.900]   And and make it and make everything work well with the vendors and yeah, that'd be great
[00:45:00.900 --> 00:45:04.580]   So okay, I can sign up my okay. That's great. I was really wondering how to do that
[00:45:04.580 --> 00:45:09.300]   I because I would love because it's it's its own little entity right a project something that big
[00:45:09.300 --> 00:45:11.300]   Yep
[00:45:11.300 --> 00:45:15.780]   Okay, great. All right. So in the next set of questions revolve around the bundle, but as you mentioned
[00:45:15.780 --> 00:45:18.180]   You've got things you're going to be changing
[00:45:18.180 --> 00:45:22.180]   So let's talk about the bundle when we get into future announcements and jump into
[00:45:22.820 --> 00:45:27.940]   For all of you folks who already own capsules and blocks. There's been a lot of questions about
[00:45:27.940 --> 00:45:30.420]   What's the difference between the two?
[00:45:30.420 --> 00:45:35.380]   Uh, and so, you know, so I guess right off the bat the first question feel what you know, what's your like
[00:45:35.380 --> 00:45:40.500]   Explanation like if somebody, you know, what hey, you know, what's the difference? Like what's you know?
[00:45:40.500 --> 00:45:44.580]   I already have all this stuff, you know, what what's the what's this new thing do?
[00:45:44.580 --> 00:45:49.540]   Uh, or you know that kind of because the questions are what's the difference between two and then the breakout questions are
[00:45:50.020 --> 00:45:54.660]   What does the upgrade do that the capsules can't what can the capsules do that the upgrade can't right?
[00:45:54.660 --> 00:45:59.620]   And then how do they compliment each other and then do they even and then do they interfere with each other?
[00:45:59.620 --> 00:46:02.980]   So those are kind of the questions that I plucked out of the chat
[00:46:02.980 --> 00:46:06.260]   Uh, and just wanted to see you know, like how would you explain that?
[00:46:06.260 --> 00:46:12.900]   Yeah, so first of all, it's really they they complement each other and both have
[00:46:12.900 --> 00:46:15.220]   advantages
[00:46:15.220 --> 00:46:19.220]   And things you can do with them and achieve with them that the others can't
[00:46:19.700 --> 00:46:22.900]   Let's take you know in terms of the actual physical
[00:46:22.900 --> 00:46:30.260]   Technology, let's take the infinity block package as the ultimate right because that's really where you can create
[00:46:30.260 --> 00:46:35.620]   different levels on the hawkin scale you can upgrade your blocks to
[00:46:35.620 --> 00:46:41.380]   super super high levels and you have amazing fields you can charge every object
[00:46:41.380 --> 00:46:47.620]   And all of these things right so there you're you're pretty much all covered the
[00:46:48.420 --> 00:46:52.580]   Benefit that you would still get from a quantum upgrade is that you have
[00:46:52.580 --> 00:47:00.020]   Morphlic stability and customization that a blog or even two blogs wouldn't give you because you could set
[00:47:00.020 --> 00:47:04.900]   You know different boosters. You can set a different hawkin scale
[00:47:04.900 --> 00:47:11.620]   Level for the nighttime you can do on Mondays. You could be at 700 on Tuesdays
[00:47:11.620 --> 00:47:17.780]   You could set it for 800 you could for the next week you could go to 900 and so on and so on so
[00:47:18.980 --> 00:47:20.420]   That's just
[00:47:20.420 --> 00:47:22.580]   That's just an additional level
[00:47:22.580 --> 00:47:25.780]   and on top of that
[00:47:25.780 --> 00:47:27.860]   the quantum upgrade, you know, it's just a
[00:47:27.860 --> 00:47:30.820]   think of it as a
[00:47:30.820 --> 00:47:32.820]   big indeed upgraded
[00:47:32.820 --> 00:47:37.540]   System of our own technology and it contains this
[00:47:37.540 --> 00:47:40.660]   specific buffer and a harmony feature
[00:47:40.660 --> 00:47:45.700]   Which makes sure that everyone is pretty much picked up where they are
[00:47:46.100 --> 00:47:48.100]   Meaning let's say if someone
[00:47:48.100 --> 00:47:57.940]   Could put their picture in the infinity blog and the regular infinity blog for half an hour or an hour and and after that
[00:47:57.940 --> 00:48:00.900]   Would usually remove the picture because it
[00:48:00.900 --> 00:48:04.580]   You know he would notice it would just be too much energy
[00:48:04.580 --> 00:48:09.700]   Then on that same level on the hawkin scale you could be in there
[00:48:09.700 --> 00:48:11.780]   for
[00:48:11.780 --> 00:48:17.780]   At least a few days in the quantum upgrade just because it it has these features
[00:48:17.780 --> 00:48:26.020]   And at the end of that period actually you will be already vibrating at a higher level. It's just
[00:48:26.020 --> 00:48:29.540]   It doesn't overwhelm your nervous system
[00:48:29.540 --> 00:48:33.540]   Quickly it doesn't kick in these detox effects. It's
[00:48:33.540 --> 00:48:40.420]   It's softer in bringing up stuff, you know emotional stuff, trauma stuff and all of that
[00:48:41.620 --> 00:48:43.940]   Then if you were to use the blocks
[00:48:43.940 --> 00:48:48.660]   Is it then a hundred percent still needed only you can feel that, you know
[00:48:48.660 --> 00:48:54.580]   It's not that you have to have that because you can go so far already with the infinity blocks, of course
[00:48:54.580 --> 00:48:59.220]   Um, but the other upgrade service indeed has benefits
[00:48:59.220 --> 00:49:06.260]   Over that but then the benefit of the blocks is really, you know, you can charge your foods
[00:49:06.260 --> 00:49:11.220]   You can you can put your silverware in and charge those permanently your keys
[00:49:11.780 --> 00:49:13.460]   All of these things
[00:49:13.460 --> 00:49:17.460]   And that is something you cannot do with a quantum upgrade service
[00:49:17.460 --> 00:49:20.980]   So there are things you can do with the one that you can't do with the other
[00:49:20.980 --> 00:49:28.260]   Okay, yeah, I think that you know when you as you're describing that it makes it makes a lot more sense for me because I was one of my first questions
[00:49:28.260 --> 00:49:31.220]   And people have been asking like, you know, I do I need this?
[00:49:31.220 --> 00:49:32.660]   I mean what what else would it do for me?
[00:49:32.660 --> 00:49:37.540]   And I just I just signed up myself and then what I realized I'm just trying it out or you know
[00:49:37.540 --> 00:49:41.620]   Because first of all, if you already own a block and there's a seven-day free trial, give it a try
[00:49:41.620 --> 00:49:45.460]   You know, I highly recommend give it a try. I'm giving it a try right now. I signed up yesterday
[00:49:45.460 --> 00:49:49.860]   Um, you know and just kind of get a feel for the registration process and click and kicked it in
[00:49:49.860 --> 00:49:55.620]   But yeah, I mean I'm compulsive like I mentioned earlier about charging all my water and all my food
[00:49:55.620 --> 00:49:58.340]   And so without a block I couldn't be doing that
[00:49:58.340 --> 00:50:04.100]   Uh, and then definitely, you know, making boosters, you know, making capsules and things like that for friends and family
[00:50:04.100 --> 00:50:06.500]   You know, yeah, and then also having that thing in my house
[00:50:06.980 --> 00:50:11.140]   I do have I am in the in my in the field all the time
[00:50:11.140 --> 00:50:18.500]   But so can you comment about, you know, like I have a high upgraded. I be I got a two, you know, two infinity blocks
[00:50:18.500 --> 00:50:20.580]   one's an eight one's a nine
[00:50:20.580 --> 00:50:23.620]   Uh in my home, of course. I've got other blocks too as well
[00:50:23.620 --> 00:50:28.020]   Um, but having them in my home and I'm in this like really concentrated field
[00:50:28.020 --> 00:50:30.180]   um
[00:50:30.180 --> 00:50:34.980]   Because the I guess the thing is right there's this new feature you develop for the service
[00:50:34.980 --> 00:50:39.380]   And you also developed it for the the travel block, which is that harmonizing
[00:50:39.380 --> 00:50:43.700]   Feature right of the energy so that it doesn't
[00:50:43.700 --> 00:50:45.540]   overwhelm
[00:50:45.540 --> 00:50:52.020]   Whoever's receiving it and so is I mean i'm trying to just kind of like put it in you know get it straight in my head
[00:50:52.020 --> 00:50:53.140]   But
[00:50:53.140 --> 00:50:57.060]   If somebody wasn't used to that level of energy and they walked into my home, they would get overwhelmed
[00:50:57.060 --> 00:51:03.220]   Um, but you have a there's a feature in the service that makes sure you don't get overwhelmed so that you literally could be
[00:51:03.780 --> 00:51:06.660]   in a very high high level high energy field
[00:51:06.660 --> 00:51:12.500]   All 24 hours a day right, um and not ever feel overwhelmed. So I guess there's that harmonization
[00:51:12.500 --> 00:51:18.500]   Right. Yes. So the service is definitely different than being in the field of a block
[00:51:18.500 --> 00:51:22.180]   Yes, so I must say i'm trying to wrap my head around it
[00:51:22.180 --> 00:51:24.740]   That at at some level
[00:51:24.740 --> 00:51:29.460]   This is then also still becoming too much. So let's say someone that
[00:51:30.740 --> 00:51:33.540]   Is all new to this and then they want to choose a
[00:51:33.540 --> 00:51:39.860]   900 right out of the gate. I mean this will also relatively quickly lead to the fact that they'll be
[00:51:39.860 --> 00:51:42.180]   um
