
[00:00:00.000 --> 00:00:04.240]   Aloha everyone and welcome to another video by me K Elmer and in this video
[00:25:21.600 --> 00:25:23.600]   Like I said, I really don't like doctors
[00:25:23.600 --> 00:25:29.180]   so I just put the tip back on clean everything up put the tip back on and then I just
[00:25:29.180 --> 00:25:34.880]   treated it with blood electrification and I did the Bob Beck because I was really afraid of the
[00:25:34.880 --> 00:25:40.000]   infections I would get which is the number one cause of you know these kinds of problems, but basically I
[00:25:40.000 --> 00:25:44.460]   Fixed myself and I just was electrifying every single day for like two weeks
[00:25:44.460 --> 00:25:48.800]   And I made sure I did get a little bit of an infection, but I killed it right away
[00:25:49.000 --> 00:25:52.260]   It never got bad and it it allowed my finger to
[00:25:52.260 --> 00:25:59.480]   Reattach to my tip and I fixed my finger. That's another you know and I did that and I never went to a doctor
[00:25:59.480 --> 00:26:03.120]   I never took antibiotics and you know these are the things you you go to the doctor
[00:26:03.120 --> 00:26:08.440]   With a severed finger, you know, whatever the tip of its cut off or you go to the doctor your coffee blood
[00:26:08.440 --> 00:26:11.560]   they're gonna pump you so full of antibiotics and
[00:26:11.560 --> 00:26:18.240]   And that's not what I ever ever want to do for me personally. It's not medical advice, but personally
[00:26:18.440 --> 00:26:23.120]   Okay, I have done enough study of the gut microbiome and that they're the
[00:26:23.120 --> 00:26:29.720]   critical importance of keeping your gut microbiome healthy that I will not take antibiotics
[00:26:29.720 --> 00:26:36.200]   I will I will find any other way not to and this is what I found to not to take antibiotics
[00:26:36.200 --> 00:26:41.040]   But those that's just a couple of my personal testimonials about how blood electrification has helped me
[00:26:41.040 --> 00:26:43.960]   so like I said you can either just do it as
[00:26:44.600 --> 00:26:48.960]   Just using the device and not doing the other three steps or you could do the whole thing
[00:26:48.960 --> 00:26:52.680]   You know and so that's really it and it's an amazing thing
[00:26:52.680 --> 00:26:57.880]   So for those of you who are prone to infections and things like that, you know, or just you know
[00:26:57.880 --> 00:27:01.600]   Just just want to try something. That's not you know a bunch of pills
[00:27:01.600 --> 00:27:06.440]   You know, I I just I don't recommend it because it's not medical advice
[00:27:06.440 --> 00:27:11.160]   But this is what it would be if you decided to try it and and it's all about you know
[00:27:11.160 --> 00:27:13.360]   And this is how Bob Beck put it take back your power
[00:27:13.800 --> 00:27:18.860]   So there you go. This is the story of blood electrification. Here's the actual patent
[00:27:18.860 --> 00:27:22.640]   This is Bob Beck's book that he put together
[00:27:22.640 --> 00:27:27.120]   It's 42 pages of handouts that he would hand out at all of his lectures that he did
[00:27:27.120 --> 00:27:30.640]   And then you know, basically you learn a lot more here on this site
[00:27:30.640 --> 00:27:36.800]   This is where you would go and and if you wanted to buy one if you wanted to make your own if you're that adventurous
[00:27:36.800 --> 00:27:39.520]   You can actually buy a kit from this guy, okay
[00:27:39.760 --> 00:27:46.200]   Little electronic kit and solder yourself. If not, then these guys this is they're you know now now, okay?
[00:27:46.200 --> 00:27:51.520]   It's like, you know, 30 years later. So these guys, they're not that cheap. This is probably the best bargain for your dollar
[00:27:51.520 --> 00:27:57.200]   It's $199 or something like that, right? And it actually does I'll get into a hold of Clark at another date
[00:27:57.200 --> 00:27:59.200]   But it does the Clark frequencies
[00:27:59.200 --> 00:28:02.400]   The Beck frequencies and then some other frequencies
[00:28:02.400 --> 00:28:06.840]   And it's it's got you can do a lot more it's got a lot more features to it and it's about 200 bucks
[00:28:07.240 --> 00:28:09.900]   if I think the current price on a silver
[00:28:09.900 --> 00:28:12.840]   Pulsor at soda is
[00:28:12.840 --> 00:28:18.960]   Under 300 or something like that. Okay, so it's a little pricier than this one. These guys are
[00:28:18.960 --> 00:28:23.640]   They're 400 or more. So they're they're the most priciest and then this one
[00:28:23.640 --> 00:28:28.440]   Wow, I don't even know what this one costs. Sorry. I didn't look that up before I started this video
[00:28:28.440 --> 00:28:34.160]   I don't want to hunt around while you're while you're waiting on me, but I know that the kit when I bought it was like 35 bucks
[00:28:34.520 --> 00:28:38.160]   So, you know, so the kit's not that expensive. So anyway, that's where you get it
[00:28:38.160 --> 00:28:39.440]   You want to learn how to use it?
[00:28:39.440 --> 00:28:44.680]   There's some great videos on on how to do placements and the other thing if you want to learn more
[00:28:44.680 --> 00:28:51.800]   This is Bob Beck calm or altered states. They've got some great detail on it. The last thing I do really really really really want to emphasize
[00:28:51.800 --> 00:28:58.200]   Is what I mentioned earlier in my other video about the Herxheimer's effect, okay?
[00:28:58.200 --> 00:29:02.660]   And so this is what happens if you use a blood electric fire on yourself
[00:29:03.560 --> 00:29:06.100]   Or you have a giant rat in your house that you test on
[00:29:06.100 --> 00:29:08.640]   then
[00:29:08.640 --> 00:29:13.860]   You are going to like the patent says it's proven that these guys proved it
[00:29:13.860 --> 00:29:21.440]   and it will kill off viruses pathogens and fungus whatever it's in your blood if you ever had ever looked at blood
[00:29:21.440 --> 00:29:23.920]   You know, there's a lot of other things swimming around they're supposed to be
[00:29:23.920 --> 00:29:30.040]   Round things which are your red blood cells and big blobby things that are your white blood cells and then that's it
[00:29:30.040 --> 00:29:33.240]   But there's all this other stuff swimming around. Well, that's not supposed to be either
[00:29:33.240 --> 00:29:38.280]   That's not you those are pathogens the more you have a higher pathogen load probably the sicker you are
[00:29:38.280 --> 00:29:43.120]   You know, and so if you want to clean up your blood, then this is the way to do it
[00:29:43.120 --> 00:29:46.360]   Hypothetically for research purposes only
[00:29:46.360 --> 00:29:52.660]   Okay, that's the way to do it, but but but but but okay, keep in mind that where's all that gonna go if you
[00:29:52.660 --> 00:29:57.400]   Disable you neutralize like your Star Trek phaser on stuns app these things
[00:29:57.920 --> 00:30:02.120]   Your body has to flush them out and if you do too much too soon
[00:30:02.120 --> 00:30:08.600]   You will overload your ability your body's ability to detox all that stuff out naturally and it'll back you up
[00:30:08.600 --> 00:30:12.280]   And you're gonna get sick and you're gonna be sick from detoxing
[00:30:12.280 --> 00:30:18.720]   So don't do that to yourself and it's highly recommended that when you do this kind of thing you do it very slow
[00:30:18.720 --> 00:30:21.400]   Like try 15 minutes. See what happens to you
[00:30:22.040 --> 00:30:29.400]   Then go to 30 minutes and so forth. I mean I've actually done it where I got myself up to a point where I did it for three
[00:30:29.400 --> 00:30:31.400]   Months straight for like three four hours day
[00:30:31.400 --> 00:30:37.680]   After work every night, and it just because I just had this I went through this phase where I wanted to purify my blood
[00:30:37.680 --> 00:30:42.600]   And I will tell you this though after doing that and I did that several years ago
[00:30:42.600 --> 00:30:46.940]   I went from having like I don't know maybe seven to nine sick days a year
[00:30:47.280 --> 00:30:54.320]   Literally sick not injured, but sick - I haven't had any I had maybe like one or two in the last few years
[00:30:54.320 --> 00:31:00.920]   I really don't get sick and I and I really attribute that to the fact that I don't have I have a very very low
[00:31:00.920 --> 00:31:07.920]   Pathogen load in my blood and that's my personal testimony not to be taken as medical advice boy. I can't say that enough can I?
[00:31:07.920 --> 00:31:10.120]   So there you go
[00:31:10.120 --> 00:31:17.120]   There's what I know a high-level overview of blood electrification and dr. Bob Beck all the links are going to be in the video
[00:31:17.120 --> 00:31:20.480]   description, I hope you learned something. I hope this was helpful for you
[00:31:20.480 --> 00:31:22.800]   Thank you very much for your time
[00:31:22.800 --> 00:31:25.960]   Because you know you there's so much out there on the web
[00:31:25.960 --> 00:31:33.240]   But I'm just throwing this out there to help people and if I can help you that makes me happy and that's good karma point
[00:31:33.240 --> 00:31:35.560]   So thank you for giving me karma points
[00:31:35.560 --> 00:31:39.720]   But thank you so much for watching and listening to me ramble
[00:31:39.720 --> 00:31:42.760]   And remember I do these in one to one take
[00:31:43.680 --> 00:31:49.160]   So be gentle, but thanks a lot guys and and I really hope that this was
[00:31:49.160 --> 00:31:55.160]   Educational and that you learned something and maybe you'll give it a try and see what happens. All right. Aloha. Have a good day

