
[00:00:00.000 --> 00:00:02.360]   (upbeat music)
[00:17:13.820 --> 00:17:18.820]   that a 13 gauge needle puts out way too much Poplar C60
[00:17:18.820 --> 00:17:20.340]   and I just end up splishing too much
[00:17:20.340 --> 00:17:22.420]   on the, I was using the back of my hand
[00:17:22.420 --> 00:17:24.740]   and it just kept coming out way too much.
[00:17:24.740 --> 00:17:25.900]   And it was just making a huge mess.
[00:17:25.900 --> 00:17:28.380]   So I went and bought much smaller needles.
[00:17:28.380 --> 00:17:29.940]   I got a 30 gauge needle.
[00:17:29.940 --> 00:17:32.540]   And when I put that on, it just worked splendidly.
[00:17:32.540 --> 00:17:35.660]   I can control the actual drop so I can actually count
[00:17:35.660 --> 00:17:38.700]   the drops out one at a time as I put it on my skin.
[00:17:38.700 --> 00:17:41.660]   So keep in mind that if you're using needles
[00:17:41.660 --> 00:17:43.020]   or even using this little syringe
[00:17:43.020 --> 00:17:45.500]   or this little open area,
[00:17:45.500 --> 00:17:47.580]   that the tip dries out.
[00:17:47.580 --> 00:17:50.300]   And so when you go to depress it the next day,
[00:17:50.300 --> 00:17:52.540]   you have to kind of give it a real strong push
[00:17:52.540 --> 00:17:55.180]   to kind of push the plug out at the end of the nipple.
[00:17:55.180 --> 00:17:56.180]   Sorry, needle.
[00:17:56.180 --> 00:18:01.060]   And then the Poplar C60 comes out.
[00:18:01.060 --> 00:18:03.900]   So you can imagine that if you have a really big opening
[00:18:03.900 --> 00:18:05.660]   that you're gonna goosh out a bunch
[00:18:05.660 --> 00:18:07.700]   and you're gonna get way more than you intended.
[00:18:07.700 --> 00:18:11.980]   So over time, it took several weeks before J got good at it
[00:18:11.980 --> 00:18:14.700]   where he could just control the amount he was dosing.
[00:18:14.700 --> 00:18:16.980]   And I got good at it when I finally got these needles.
[00:18:16.980 --> 00:18:18.700]   So there you go, we learned something.
[00:18:18.700 --> 00:18:19.540]   We're sharing it with you.
[00:18:19.540 --> 00:18:20.820]   Save yourself a bunch of trouble.
[00:18:20.820 --> 00:18:23.300]   And then last thing too is that when you do put it
[00:18:23.300 --> 00:18:27.260]   on your skin, you know, even though this is what it looked
[00:18:27.260 --> 00:18:29.900]   like right when he had done it, he spreads it out.
[00:18:29.900 --> 00:18:32.540]   And it's really important to spread it out a thin.
[00:18:32.540 --> 00:18:34.740]   So that's really thin across your skin.
[00:18:34.740 --> 00:18:37.460]   'Cause you don't wanna let it be thick
[00:18:37.460 --> 00:18:39.940]   because if you leave it thick over your skin,
[00:18:39.940 --> 00:18:41.580]   it'll just dry and flake off.
[00:18:41.580 --> 00:18:43.420]   And you don't wanna lose it 'cause it's expensive.
[00:18:43.420 --> 00:18:44.780]   So you wanna really spread it thin
[00:18:44.780 --> 00:18:46.740]   so it gets in all the grooves of your skin.
[00:18:46.740 --> 00:18:48.980]   Okay, now this is what we learned
[00:18:48.980 --> 00:18:53.980]   from doing this experiment using pulverized C60 topically
[00:18:53.980 --> 00:18:57.100]   was that not all the C60 gets absorbed, as I mentioned.
[00:18:57.100 --> 00:18:58.900]   And that activity matters.
[00:18:58.900 --> 00:19:02.500]   And so what I mean by that is that J has a physical job
[00:19:02.500 --> 00:19:06.540]   outside where he's huffing around, carrying heavy things.
[00:19:06.540 --> 00:19:07.380]   And that's his job.
[00:19:07.380 --> 00:19:09.700]   Now my job is I work in an air-conditioned office.
[00:19:09.700 --> 00:19:13.260]   And so he's out there, sweating, his pores are open,
[00:19:13.260 --> 00:19:14.100]   obviously.
[00:19:14.100 --> 00:19:17.100]   And so he had a much higher absorption rate than I did.
[00:19:17.100 --> 00:19:19.300]   And so you can see what his example was here
[00:19:19.300 --> 00:19:20.500]   were morning and night.
[00:19:20.500 --> 00:19:21.300]   And then here's mine.
[00:19:21.300 --> 00:19:22.820]   Here's just one example.
[00:19:22.820 --> 00:19:24.980]   This was one of the early days when I'd splooshed out
[00:19:24.980 --> 00:19:28.180]   probably like five or six times more than I needed to.
[00:19:28.180 --> 00:19:29.380]   And believe me, I didn't even sleep
[00:19:29.380 --> 00:19:31.100]   for a couple of days after this.
[00:19:31.100 --> 00:19:34.380]   But this is what it looked like in the morning at 7 a.m.
[00:19:34.380 --> 00:19:36.660]   And this is what it looked like at night at 7 p.m.
[00:19:36.660 --> 00:19:38.340]   You can see that a lot of this darkness
[00:19:38.340 --> 00:19:40.220]   had gotten soaked into my hand.
[00:19:40.220 --> 00:19:41.700]   And of course, some does rub off.
[00:19:41.700 --> 00:19:43.620]   But a lot of it gets absorbed.
[00:19:43.620 --> 00:19:45.260]   And then this is all that was remaining.
[00:19:45.260 --> 00:19:46.820]   After 7 p.m. I used the napkin.
[00:19:46.820 --> 00:19:48.060]   I wiped it off.
[00:19:48.060 --> 00:19:49.260]   And there wasn't that much.
[00:19:49.260 --> 00:19:51.020]   If I would have took a napkin to this,
[00:19:51.020 --> 00:19:53.580]   this would be black or brown, right?
[00:19:53.580 --> 00:19:58.020]   But when I wiped off at night, I was surprised that that much.
[00:19:58.020 --> 00:19:59.060]   There was only that much left.
[00:19:59.060 --> 00:20:00.500]   And it really wasn't a lot.
[00:20:00.500 --> 00:20:02.660]   So this might look like it's a lot, but when you wipe it off,
[00:20:02.660 --> 00:20:03.100]   it's not.
[00:20:03.100 --> 00:20:04.820]   So a lot of it got absorbed.
[00:20:04.820 --> 00:20:07.820]   But I still think that if you stay active
[00:20:07.820 --> 00:20:10.300]   and you have your sweaty, your hot, your pores are open,
[00:20:10.300 --> 00:20:11.780]   you're going to absorb a lot more.
[00:20:11.780 --> 00:20:13.140]   And that's just common sense.
[00:20:13.140 --> 00:20:16.180]   Now, the locations of our bodies that we were putting this on
[00:20:16.180 --> 00:20:19.540]   in our experiment was I was doing the back of the hand
[00:20:19.540 --> 00:20:21.700]   because I wear dress shirts and dress pants during the week.
[00:20:21.700 --> 00:20:25.340]   And so I just-- I was the only exposed area of skin
[00:20:25.340 --> 00:20:28.820]   I could do it without the least amount of it
[00:20:28.820 --> 00:20:31.220]   getting rubbed off by clothes.
[00:20:31.220 --> 00:20:33.380]   Jay had a different way of doing things.
[00:20:33.380 --> 00:20:35.100]   And he used the crook of his elbow.
[00:20:35.100 --> 00:20:36.060]   And I checked Mark there.
[00:20:36.060 --> 00:20:38.060]   Because that was what he really, really liked.
[00:20:38.060 --> 00:20:39.700]   It worked really well for him.
[00:20:39.700 --> 00:20:41.180]   He did try the inner wrist.
[00:20:41.180 --> 00:20:42.180]   Didn't work as well.
[00:20:42.180 --> 00:20:45.420]   But so he's kind of voting for crook of elbow.
[00:20:45.420 --> 00:20:46.780]   For me, I haven't tried that yet.
[00:20:46.780 --> 00:20:47.780]   I'm just doing back to hand.
[00:20:47.780 --> 00:20:49.300]   But he definitely said crook of elbow.
[00:20:49.300 --> 00:20:51.940]   And one thing I want to add is, Jay also mentioned
[00:20:51.940 --> 00:20:54.260]   that after a week or so, it didn't
[00:20:54.260 --> 00:20:58.020]   seem like his body was absorbing much in the same place.
[00:20:58.020 --> 00:20:59.860]   So he'd switch from one elbow to the next.
[00:20:59.860 --> 00:21:02.220]   And that seemed to continue to allow his body
[00:21:02.220 --> 00:21:03.980]   to absorb the maximum amount.
[00:21:03.980 --> 00:21:09.260]   So moving your dosing location around on your body
[00:21:09.260 --> 00:21:10.780]   it seemed to be a good thing.
[00:21:10.780 --> 00:21:14.300]   Also, that we specifically picked places on our body
[00:21:14.300 --> 00:21:16.140]   where the veins were very close to the skin
[00:21:16.140 --> 00:21:18.140]   so that it went straight into the bloodstream
[00:21:18.140 --> 00:21:20.660]   as fast as possible and as much as possible.
[00:21:20.660 --> 00:21:21.740]   So close to the skin.
[00:21:21.740 --> 00:21:25.780]   It's close to the skin where your veins are.
[00:21:25.780 --> 00:21:26.740]   Stay active.
[00:21:26.740 --> 00:21:28.140]   Keep your pores open and so forth.
[00:21:28.140 --> 00:21:30.100]   So those are some of the things that we learned
[00:21:30.100 --> 00:21:32.740]   in terms of trying to absorb as much as you can.
[00:21:32.740 --> 00:21:35.060]   We did also learn that between one and a half hours
[00:21:35.060 --> 00:21:36.900]   and three hours is how long it takes
[00:21:36.900 --> 00:21:38.700]   for the feeling to kick in when you know
[00:21:38.700 --> 00:21:41.660]   you're C60's in you and doing its job.
[00:21:41.660 --> 00:21:43.700]   The second thing too was that we both were experiencing
[00:21:43.700 --> 00:21:47.260]   the same thing, which was by taking C60 topically
[00:21:47.260 --> 00:21:49.940]   we had really high energy for two days
[00:21:49.940 --> 00:21:52.220]   with only sleeping about four hours a night.
[00:21:52.220 --> 00:21:54.580]   And then there's a third day where your body just says,
[00:21:54.580 --> 00:21:55.820]   nope, no more, I'm not dealing with you.
[00:21:55.820 --> 00:21:59.140]   And I don't care how whatever, I'm just gonna get some sleep.
[00:21:59.140 --> 00:22:00.980]   So your body just shuts down on the third day.
[00:22:00.980 --> 00:22:03.380]   You get a full night's sleep and then you repeat it again.
[00:22:03.380 --> 00:22:06.220]   But then what's interesting is after you kinda do this enough
[00:22:06.220 --> 00:22:10.860]   over a few weeks, there's a point where after like the sixth day
[00:22:10.860 --> 00:22:12.580]   your brain activity starts to balance.
[00:22:12.580 --> 00:22:14.500]   You're not as amped up, but you're just kinda like
[00:22:14.500 --> 00:22:17.820]   the sustainable hum, you know, you're just doing really well.
[00:22:17.820 --> 00:22:21.460]   You've got sustained energy, your mental acuity's really sharp
[00:22:21.460 --> 00:22:23.140]   and you just stay that way.
[00:22:23.140 --> 00:22:24.900]   And so that seems to be what we learned
[00:22:24.900 --> 00:22:26.380]   by taking C60 this way.
[00:22:26.380 --> 00:22:27.900]   And actually that's the same thing, right?
[00:22:27.900 --> 00:22:32.100]   If you take enough in oil, okay?
[00:22:32.100 --> 00:22:33.660]   Now Jay's a little crazier than I am.
[00:22:33.660 --> 00:22:36.020]   He actually wanted to see what it tastes like
[00:22:36.020 --> 00:22:38.740]   right out of the jar, which I don't know why,
[00:22:38.740 --> 00:22:41.100]   but he did, you know, it's in pure alcohol, right?
[00:22:41.100 --> 00:22:42.860]   It's carbon in pure alcohol.
[00:22:42.860 --> 00:22:45.620]   So anyway, he put it on his tongue and he said it tasted
[00:22:45.620 --> 00:22:48.260]   like something, I'm not the word that I shouldn't be using
[00:22:48.260 --> 00:22:51.340]   in the video, but he also said it tastes like charcoal.
[00:22:51.340 --> 00:22:55.500]   So he said it tastes like X and it tastes like charcoal,
[00:22:55.500 --> 00:22:57.580]   but it didn't leave any black stain on his tongue.
[00:22:57.580 --> 00:22:59.460]   And he definitely said he'll never do that again.
[00:22:59.460 --> 00:23:03.260]   So there you go, that's a little bit more experimentation.
[00:23:03.260 --> 00:23:04.860]   Results you didn't want to know.
[00:23:04.860 --> 00:23:06.740]   And then also too, there was no change to appetite,
[00:23:06.740 --> 00:23:09.820]   no appreciable change, neither one of us ate more or less,
[00:23:09.820 --> 00:23:12.020]   but we both are reporting weight loss in general
[00:23:12.020 --> 00:23:14.940]   from taking C60 for close to a year now.
[00:23:14.940 --> 00:23:16.580]   And also too, you know, he ran out.
[00:23:16.580 --> 00:23:20.420]   And so when he ran out of liquid C60, you know,
[00:23:20.420 --> 00:23:22.660]   Jay reports that he started to scrape it off the inside
[00:23:22.660 --> 00:23:25.700]   of the jar and kept like smearing it on his skin.
[00:23:25.700 --> 00:23:27.180]   And that actually kept, that actually worked.
[00:23:27.180 --> 00:23:29.260]   So he made it last a little bit longer
[00:23:29.260 --> 00:23:30.300]   than it was ever intended to.
[00:23:30.300 --> 00:23:33.180]   So he had like the little tip he wanted to share with everybody.
[00:23:33.180 --> 00:23:34.980]   And then lastly, you know, we both kind of learned
[00:23:34.980 --> 00:23:37.020]   that it helps to take a day off.
[00:23:37.020 --> 00:23:41.300]   After a while, you know, it's wearing on your brain
[00:23:41.300 --> 00:23:44.020]   to be that alert and that awake and that sharp.
[00:23:44.020 --> 00:23:49.060]   And so I've come to now stop taking C60 on Sundays
[00:23:49.060 --> 00:23:51.900]   just to just give my body a day just to like shake it off.
[00:23:51.900 --> 00:23:55.900]   And then I find that by taking a day off once a week from it,
[00:23:55.900 --> 00:24:00.260]   it just, I have a better effect from it for the rest of the week.
[00:24:00.260 --> 00:24:03.060]   So that's a suggestion as well that we both learned
[00:24:03.060 --> 00:24:06.060]   from doing this because C60 topically
[00:24:06.060 --> 00:24:11.060]   is a very, very strong way to take C60.
[00:24:11.060 --> 00:24:13.180]   And then, you know, I wanted to share this picture with you.
[00:24:13.180 --> 00:24:17.340]   This is my back of my hand at close zoom.
[00:24:17.340 --> 00:24:20.100]   This is one hour after application and muggy heat.
[00:24:20.100 --> 00:24:21.580]   And so this is, you know, typical Hawaii.
[00:24:21.580 --> 00:24:24.900]   It's about, you know, 80 degrees, 75 humidity.
[00:24:24.900 --> 00:24:27.100]   So it's really out, you know, I took my dogs to the park.
[00:24:27.100 --> 00:24:29.260]   And so this was one hour after I put this on.
[00:24:29.260 --> 00:24:30.900]   This was completely black.
[00:24:30.900 --> 00:24:32.620]   And then one hour later, you can see how my skin
[00:24:32.620 --> 00:24:35.100]   just sucked it all in, in the little canyons.
[00:24:35.100 --> 00:24:37.020]   And so you can see where the C60 goes.
[00:24:37.020 --> 00:24:39.340]   It goes into every little line and crack
[00:24:39.340 --> 00:24:41.860]   and opening and pour of your hand
[00:24:41.860 --> 00:24:43.500]   and your body just absorbs it really quick.
[00:24:43.500 --> 00:24:45.420]   So I thought this was really interesting
[00:24:45.420 --> 00:24:47.460]   'cause when you look at your skin, you don't realize that.
[00:24:47.460 --> 00:24:50.620]   You're just a combination of little canyons.
[00:24:50.620 --> 00:24:53.780]   So the C60 definitely does absorb into your body
[00:24:53.780 --> 00:24:55.380]   and you definitely can feel it.
[00:24:55.380 --> 00:24:59.540]   So I wanted to share with you also the economics behind this.
[00:24:59.540 --> 00:25:03.220]   So for the third way of using C60 topically,
[00:25:03.220 --> 00:25:05.580]   how does that come out from a cost standpoint?
[00:25:05.580 --> 00:25:08.100]   Well, at the end of the day, here's my simple math.
[00:25:08.100 --> 00:25:10.420]   Bottom line, two gram bottle, 20 milliliters,
[00:25:10.420 --> 00:25:12.780]   take 0.12 milliliters per dose.
[00:25:12.780 --> 00:25:14.860]   That's 166 doses.
[00:25:14.860 --> 00:25:18.380]   And for the cost of C6 to this bottle from Red Lion,
[00:25:18.380 --> 00:25:20.020]   162 bucks was shipping.
[00:25:20.020 --> 00:25:22.540]   It comes out to 98 cents a day.
[00:25:22.540 --> 00:25:24.660]   It has 98 cents per dose.
[00:25:24.660 --> 00:25:28.260]   So I normally take one to two tablespoons a day.
[00:25:28.260 --> 00:25:31.900]   And so to me, that'd be like two bucks,
[00:25:31.900 --> 00:25:33.380]   not even two bucks, right?
[00:25:33.380 --> 00:25:35.740]   So for regular folks taking one tablespoon a day,
[00:25:35.740 --> 00:25:37.820]   it'd be like a dollar a day
[00:25:37.820 --> 00:25:40.500]   for the same amount of C60
[00:25:40.500 --> 00:25:43.140]   that you would be having in a tablespoon of oil, right?
[00:25:43.140 --> 00:25:44.500]   We're talking quantities.
[00:25:44.500 --> 00:25:46.340]   So it's really inexpensive.
[00:25:46.340 --> 00:25:49.260]   I was really surprised how inexpensive this was.
[00:25:49.260 --> 00:25:50.980]   And compare that to olive oil.
[00:25:50.980 --> 00:25:53.260]   Now, if you took a look at the pricing guide,
[00:25:53.260 --> 00:25:54.500]   the most recent one I put out,
[00:25:54.500 --> 00:25:57.620]   the average cost per ounce of C60 olive oil
[00:25:57.620 --> 00:25:59.460]   is 10 dollars and 60 cents an ounce.
[00:25:59.460 --> 00:26:02.020]   And so one tablespoon is roughly half an ounce.
[00:26:02.020 --> 00:26:03.340]   So it's like five bucks a day.
[00:26:03.340 --> 00:26:05.140]   So if you're taking C60 olive oil,
[00:26:05.140 --> 00:26:08.100]   it's about five dollars a day at a tablespoon a day.
[00:26:08.100 --> 00:26:09.540]   Compare that to dollar a day
[00:26:09.540 --> 00:26:11.620]   if you took it just directly, no oil.
[00:26:11.620 --> 00:26:16.820]   So it's interesting from an economic standpoint as well,
[00:26:16.820 --> 00:26:19.780]   in terms of making the decision to try it or not.
[00:26:19.780 --> 00:26:21.340]   Anyway, I did want to share lastly
[00:26:21.340 --> 00:26:22.820]   that there are some downsides.
[00:26:22.820 --> 00:26:26.100]   The downsides to taking pulverized C60 on your hands
[00:26:26.100 --> 00:26:27.580]   or I'm sorry on your skin
[00:26:27.580 --> 00:26:29.300]   is that it's just messy.
[00:26:29.300 --> 00:26:32.060]   It's really easy, like I said, with that needle
[00:26:32.060 --> 00:26:33.860]   and with the scoopers and all the things you do,
[00:26:33.860 --> 00:26:35.860]   it's just so messy.
[00:26:35.860 --> 00:26:37.140]   It's kind of like, it's like paint.
[00:26:37.140 --> 00:26:39.780]   And so, and then it gets stuck in the needle
[00:26:39.780 --> 00:26:41.500]   and you push out and put it in a sploosh
[00:26:41.500 --> 00:26:43.180]   and then you got a big old sploosh all over.
[00:26:43.180 --> 00:26:46.100]   I got it on my clothes a bunch of times, on my desk.
[00:26:46.100 --> 00:26:46.980]   It's just messy.
[00:26:46.980 --> 00:26:49.460]   And so it's really easy to put too much out.
[00:26:49.460 --> 00:26:51.940]   And when you do, it's wasteful.
[00:26:51.940 --> 00:26:54.620]   It messes with your sleep if you take too much.
[00:26:54.620 --> 00:26:56.340]   And then there's this thing that Jay came up with.
[00:26:56.340 --> 00:26:58.220]   He calls it the Lucy effect.
[00:26:58.220 --> 00:26:59.420]   When you end up taking too much
[00:26:59.420 --> 00:27:01.100]   'cause you spilled it on yourself,
[00:27:01.100 --> 00:27:05.860]   it's like the movie Lucy where the girl gets her brain
[00:27:05.860 --> 00:27:07.980]   just kind of goes wacky on that stuff.
[00:27:07.980 --> 00:27:09.780]   And she just starts to activate more and more
[00:27:09.780 --> 00:27:11.220]   and more of her brain.
[00:27:11.220 --> 00:27:13.300]   That's kind of how he describes the feeling.
[00:27:13.300 --> 00:27:14.140]   I know what he means.
[00:27:14.140 --> 00:27:16.020]   I call it like sharpness, mental acuity.
[00:27:16.020 --> 00:27:18.300]   It's like, it's really hard to describe what happens
[00:27:18.300 --> 00:27:22.140]   when you take too much pulled ricey 60 on your skin.
[00:27:22.140 --> 00:27:24.700]   You get like this, you're in this zone thing
[00:27:24.700 --> 00:27:25.860]   and it's the Lucy effect.
[00:27:25.860 --> 00:27:27.220]   He calls it that I agree.
[00:27:27.220 --> 00:27:28.060]   Good term for it.
[00:27:28.060 --> 00:27:30.100]   It's, yeah, it's wild.
[00:27:30.100 --> 00:27:31.380]   It's really like you don't sleep
[00:27:31.380 --> 00:27:34.260]   but you're just really, really alert.
[00:27:34.260 --> 00:27:36.700]   And so that's kind of a downside because, you know,
[00:27:36.700 --> 00:27:41.420]   sleep is a good thing and you miss it when you don't get to.
[00:27:41.420 --> 00:27:43.180]   Okay, so the other thing I kind of mentioned
[00:27:43.180 --> 00:27:44.260]   is messy and it gets on your clothes.
[00:27:44.260 --> 00:27:46.460]   And lastly, you know, you're weird.
[00:27:46.460 --> 00:27:48.980]   And I didn't realize this part about my experiment.
[00:27:48.980 --> 00:27:51.380]   It didn't even occur to me, but, you know, here I am.
[00:27:51.380 --> 00:27:53.060]   I'm putting it on the back of my hand
[00:27:53.060 --> 00:27:54.700]   and then I'm going to my office, right?
[00:27:54.700 --> 00:27:55.940]   Now, you know, Jay's out in the tundra.
[00:27:55.940 --> 00:27:58.900]   He's got it in his shirt, so no one sees him doing it.
[00:27:58.900 --> 00:28:00.740]   But, you know, I mean, I don't want to get it
[00:28:00.740 --> 00:28:01.940]   on my work clothes, so I just put him
[00:28:01.940 --> 00:28:03.500]   in the back of my hand, right?
[00:28:03.500 --> 00:28:04.580]   So day one, I'm out there.
[00:28:04.580 --> 00:28:06.540]   It's like a Monday and I got this smudge on my hand
[00:28:06.540 --> 00:28:07.740]   and people are looking at me like,
[00:28:07.740 --> 00:28:08.620]   "Hey, so what's on your hand?"
[00:28:08.620 --> 00:28:09.980]   And I'm like, "Oh, yeah, I was just doing some stuff
[00:28:09.980 --> 00:28:11.460]   this week and I got some stuff on my hand."
[00:28:11.460 --> 00:28:18.460]   They're like, "Oh, okay," and, you know, they're thinking,
[00:28:18.460 --> 00:28:20.260]   "I got paint on me or something."
[00:28:20.260 --> 00:28:22.460]   And then the next day, they see me again, and then we say anything,
[00:28:22.460 --> 00:28:24.460]   and then finally somebody says, "What's on your hand?"
[00:28:24.460 --> 00:28:26.460]   You know, "I know I just still got that stain."
[00:28:26.460 --> 00:28:28.460]   You're like, "Oh, yeah, well, you know, I'm just doing..."
[00:28:28.460 --> 00:28:29.460]   You know, "I just got some stuff on my hand."
[00:28:29.460 --> 00:28:31.460]   And after a while, people kind of look at you like,
[00:28:31.460 --> 00:28:33.460]   "This guy don't wash his hands."
[00:28:33.460 --> 00:28:35.460]   You know, and it's just get that whole weird thing
[00:28:35.460 --> 00:28:37.460]   like you're standing in an elevator with somebody you know
[00:28:37.460 --> 00:28:39.460]   that they know you, but you don't remember each other's names
[00:28:39.460 --> 00:28:41.460]   that don't wash his hands.
[00:28:41.460 --> 00:28:44.460]   And so finally, finally, this is the kicker.
[00:28:44.460 --> 00:28:47.460]   So finally, on the fifth day, somebody finally looks at me and goes,
[00:28:47.460 --> 00:28:48.460]   "What's on your hand?"
[00:28:48.460 --> 00:28:52.460]   And I'm like, "Oh, so I go, "Oh, I do a science channel on YouTube
[00:28:52.460 --> 00:28:56.460]   where I'm studying the effects of a particular carbon allotrope
[00:28:56.460 --> 00:28:59.460]   applied topically on my skin in a monomolecular form."
[00:28:59.460 --> 00:29:01.460]   And I just stared at them.
[00:29:01.460 --> 00:29:03.460]   And they looked at me, they looked at my hand,
[00:29:03.460 --> 00:29:05.460]   they looked at me, and they went, "Oh, they walked away."
[00:29:05.460 --> 00:29:08.460]   And then that's the answer I give everybody now,
[00:29:08.460 --> 00:29:10.460]   and they all just look at me, look at my hand,
[00:29:10.460 --> 00:29:11.460]   and they walk away.
[00:29:11.460 --> 00:29:16.460]   So you're weird if you do this, so be prepared.
[00:29:16.460 --> 00:29:19.460]   So anyway, with all that said, I want to just conclude this video
[00:29:19.460 --> 00:29:21.460]   and just say thank you so much.
[00:29:21.460 --> 00:29:23.460]   I hope you learned something today.
[00:29:23.460 --> 00:29:26.460]   I'm just sharing what I've learned, and I'm glad that I'm also
[00:29:26.460 --> 00:29:28.460]   reading your comments about what you're learning
[00:29:28.460 --> 00:29:30.460]   and what you're experiencing, so keep doing that.
[00:29:30.460 --> 00:29:31.460]   And thank you very much.
[00:29:31.460 --> 00:29:35.460]   Using C60 topically, there's a lot more studies on it.
[00:29:35.460 --> 00:29:38.460]   It goes a lot farther back than ingesting C60 oil,
[00:29:38.460 --> 00:29:40.460]   and there's multiple ways you can do it.
[00:29:40.460 --> 00:29:43.460]   And you know what, and it might be even more economical.
[00:29:43.460 --> 00:29:46.460]   So there's a lot of real interesting things about
[00:29:46.460 --> 00:29:52.460]   taking C60 topically that I thought was worth learning about
[00:29:52.460 --> 00:29:54.460]   and definitely worth sharing.
[00:29:54.460 --> 00:29:55.460]   Thank you again for your time.
[00:29:55.460 --> 00:29:56.460]   I know it's precious.
[00:29:56.460 --> 00:29:59.460]   I really appreciate you stopping by, and a lot.
[00:29:59.460 --> 00:30:00.460]   Have a great day.

