
[00:00:00.000 --> 00:00:05.760]   Aloha everyone and welcome to another carbon 60 video. I'm your host K. Elmer and in this video
[00:23:37.320 --> 00:23:40.520]   I don't know a hundred couple hundred times in every video
[00:23:40.520 --> 00:23:42.600]   It's the cost to make your own
[00:23:42.600 --> 00:23:48.280]   What everything I've just said up to this point for the last 22 minutes is hey, you know, this is about buying it
[00:23:48.280 --> 00:23:52.920]   But this is about making it yourself because that is what my entire channel
[00:23:52.920 --> 00:23:58.600]   The original series that I'm doing I'm doing three different series now, but the first series was on c60
[00:23:58.600 --> 00:24:01.800]   I'm still doing c60 videos to write this video
[00:24:02.280 --> 00:24:07.800]   But make it yourself, you know, because it's such a valuable supplement
[00:24:07.800 --> 00:24:11.080]   Make it yourself. Okay diy
[00:24:11.080 --> 00:24:15.320]   Because if you make it yourself, you're going to spend about a hundred bucks and stuff
[00:24:15.320 --> 00:24:19.560]   You know, and you know, I've got a minute. I just went to amazon and reprised all this stuff
[00:24:19.560 --> 00:24:22.680]   This is all you need to make your own. Okay, you need four things
[00:24:22.680 --> 00:24:28.440]   Cost you a hundred bucks, but you know what the price of that stuff did go up 16 percent year over year
[00:24:28.440 --> 00:24:32.280]   I'm a little surprised about that, but the cost of equipment has gone up a little bit
[00:24:32.280 --> 00:24:35.240]   You know, it's not it's still not a deal breaker
[00:24:35.240 --> 00:24:40.520]   You spend a hundred bucks on equipment you buy the supplies, which is olive oil and c60
[00:24:40.520 --> 00:24:48.760]   Now it's I got a 120 250 price in there because I buy through the wholesale discount at label labs for our telegram chat group
[00:24:48.760 --> 00:24:53.400]   Uh, and i'm loyal to those guys because they're loyal to us the the group
[00:24:53.880 --> 00:25:00.680]   So, but you know, it's so I pay 120 250 for my grams, but overall it's like 146 50 first for this for the actual
[00:25:00.680 --> 00:25:04.600]   Supplies, okay, so you've got equipment and supplies your equipment costs are capital
[00:25:04.600 --> 00:25:08.680]   You don't you know and just depreciate that off and then what your run rate is on your supplies, right?
[00:25:08.680 --> 00:25:11.160]   That's what you're going to burn. I go through a leader a month
[00:25:11.160 --> 00:25:17.560]   And so this is what i'm spending and it costs me right now as of now and it's gone up like 9
[00:25:18.120 --> 00:25:24.120]   Year-over-year because the costs have gone up, but i'm still saving 950 so here's the thing
[00:25:24.120 --> 00:25:26.840]   my diy price
[00:25:26.840 --> 00:25:34.600]   Or cost to make c60 oil for myself and my pet my two dogs is four dollars and 33 cents an ounce
[00:25:34.600 --> 00:25:37.640]   Okay, it has gone up 9 percent year-over-year
[00:25:37.640 --> 00:25:42.680]   Which is which is weird because retail hasn't changed but diy has gone up
[00:25:43.240 --> 00:25:49.080]   But what what does that compare to d to retail if the average price for retail to buy it on?
[00:25:49.080 --> 00:25:54.840]   Online is 1383 an ounce and you can make it for 433 an ounce
[00:25:54.840 --> 00:25:59.800]   And you can save $9.50 per ounce
[00:25:59.800 --> 00:26:03.800]   Making it yourself and it only takes these four things
[00:26:03.800 --> 00:26:06.520]   And again a few weeks
[00:26:06.520 --> 00:26:11.560]   You know what you need to start making yourself. Okay. All right. That's my Dave Ramsey speech
[00:26:11.560 --> 00:26:15.320]   All right, I'm sorry, I'm just gonna be you know, hey, it's you know beans and rice save some money
[00:26:15.320 --> 00:26:19.000]   Okay, so anyway, that's that uh the last thing I want to point out is this little section here
[00:26:19.000 --> 00:26:24.120]   Which is i'm a tinker and you know what these guys are tinker's they're making
[00:26:24.120 --> 00:26:27.000]   new things
[00:26:27.000 --> 00:26:31.160]   That relate to fullerenes their new products that have been released on the market most recently
[00:26:31.160 --> 00:26:36.120]   Not this one. This one's only for comparison, but I want to point it out because it's really really cool
[00:26:36.600 --> 00:26:43.160]   You've got this carbon 60 Evo has come out with a c70 product the second one in the industry
[00:26:43.160 --> 00:26:49.720]   There's only been one person selling c70 in olive oil and now you've got another person out there
[00:26:49.720 --> 00:26:54.440]   So it's the first time I've ever seen anyone else start selling c70 in oil, right?
[00:26:54.440 --> 00:26:55.880]   So that's pretty cool
[00:26:55.880 --> 00:26:57.400]   I did, you know, I've done some videos
[00:26:57.400 --> 00:27:01.960]   By the way, the links in below for the videos of different ways to take c60
[00:27:02.360 --> 00:27:07.080]   And then a video about threes these three guys specifically in terms of how cool
[00:27:07.080 --> 00:27:14.520]   You know what they're doing and what their newest fullereno c60 related product is or fulleren related products
[00:27:14.520 --> 00:27:18.280]   So check it out the video description below. It's pretty sure like 20 minutes
[00:27:18.280 --> 00:27:23.320]   But it's really cool to hear about what these three new guys are doing or they're these guys doing new things
[00:27:23.320 --> 00:27:26.120]   I'm sorry, but you can inhale c60 now
[00:27:26.120 --> 00:27:30.840]   Through you know in all i'm sorry oil c60 oil atomizer
[00:27:31.560 --> 00:27:35.640]   You can take c70. There's carbon nano onions, fullerenaals, fullerenaals
[00:27:35.640 --> 00:27:42.760]   And then there's this thing called the biopteran filter. You can take a quantum hyperlight through a c60, you know, I mean it's
[00:27:42.760 --> 00:27:46.360]   Wicked cool. So, you know from a tinker standpoint
[00:27:46.360 --> 00:27:49.080]   So I just want to say there's been some new products released
[00:27:49.080 --> 00:27:53.320]   It's cool stuff if you're into c60. Hey, check out the links below. But other than that
[00:27:53.320 --> 00:27:59.400]   That's it. Thanks for hanging out for 27 minutes. Sorry. It's a little longer than I expected it to be but it's like
[00:28:00.120 --> 00:28:01.800]   I'm just rambling
[00:28:01.800 --> 00:28:03.960]   But thank you so much. I do appreciate your time
[00:28:03.960 --> 00:28:09.240]   I hope all of this information was helpful for you and that you know, you're able to save some money somehow and listen to me
[00:28:09.240 --> 00:28:11.320]   Make some di you know diy
[00:28:11.320 --> 00:28:14.280]   Loha and have a great weekend guys. Take it easy

