
[00:00:00.000 --> 00:00:05.640]   Hello everybody, this is Kay Elmer and this is another carbon 60 video and in this video
[00:22:28.320 --> 00:22:31.920]   So make sure that you've you've got the whole thing in a little bit of oil
[00:22:31.920 --> 00:22:38.320]   So that it the c60 doesn't touch air and why you're pulverizing it and so he actually says that he pulverizes
[00:22:38.480 --> 00:22:44.400]   He's got apparently got some kind of machine that does this and he says we pulverize the c60 millions of times over a week
[00:22:44.400 --> 00:22:48.560]   And pulverizing it increases the frequency of c60 whole another subject
[00:22:48.560 --> 00:22:50.880]   Uh, and I might sell this
[00:22:50.880 --> 00:22:53.840]   He says I might sell this pulverized form of c60
[00:22:53.840 --> 00:22:56.320]   Not not in the oil if I thought people would buy it
[00:22:56.320 --> 00:23:02.320]   So I actually did hit him up for it. I was like well, so me some, you know, and and so he says he's uh going to be
[00:23:02.320 --> 00:23:06.560]   Set in some aside for me in his next batch and so i'm going to buy a couple of grams
[00:23:07.120 --> 00:23:12.000]   And start using his i've been buying the bucky labs powder, but man if I could buy it pre pulverized
[00:23:12.000 --> 00:23:18.080]   For roughly the same price. I don't know what the price is yet, but uh, that would be awesome cool because it saved me a huge step
[00:23:18.080 --> 00:23:21.600]   And obviously you get a lot more out of it. So real information
[00:23:21.600 --> 00:23:24.080]   Uh, I mean room port and information just sharing
[00:23:24.080 --> 00:23:29.280]   Okay, now next let's talk about the other thing that's coming up constantly and and if you um
[00:23:29.280 --> 00:23:36.000]   You know, if you if you basically been listening to the interviews you know about this already, but combining c60 with hydrogen
[00:23:36.800 --> 00:23:42.560]   Uh, basically it you get you get a get a huge kick up in in the performance or the or the benefit of it
[00:23:42.560 --> 00:23:44.720]   And so, you know, again, just like my cbd
[00:23:44.720 --> 00:23:48.400]   Sixty oil video, you know, if you take a look at the benefits of c60
[00:23:48.400 --> 00:23:53.840]   Just you know, go to google type in health benefits of c60 health benefits of hydrogen boom all these lists pop up, right?
[00:23:53.840 --> 00:23:59.200]   And so like like um, you can see where there's a huge huge, uh, you know
[00:23:59.200 --> 00:24:03.840]   Partnership that goes on between these two they're clearly both antioxidants
[00:24:03.840 --> 00:24:07.760]   Obviously, right and so they both kind of do the same thing if not exactly the same thing
[00:24:07.760 --> 00:24:12.240]   So as the aerosol one said, you know, it's greater than the some of its whole parts
[00:24:12.240 --> 00:24:14.800]   But that's kind of the idea here, you know that okay
[00:24:14.800 --> 00:24:21.200]   Well, that's what people are saying is that if you use c60 and you drink oxygen hydrogen in suspended in water
[00:24:21.200 --> 00:24:24.640]   You're going to get a huge huge huge puff up
[00:24:24.640 --> 00:24:30.000]   Uh in the reaction you're going to get or not the reaction but the performance of the supplement
[00:24:30.080 --> 00:24:34.880]   So, uh, and this has been proven over and over for me personally when I take c60 by itself
[00:24:34.880 --> 00:24:38.080]   It's okay, but man, if i'm drinking hydrogen water all day long
[00:24:38.080 --> 00:24:40.480]   It's like it's just amazing energy boost
[00:24:40.480 --> 00:24:43.920]   Uh that you feel I mean and everybody I talked to that does that
[00:24:43.920 --> 00:24:48.160]   Uh says the same thing so and one of the reasons that's uh, you know
[00:24:48.160 --> 00:24:52.400]   Is I have path this is because I couldn't find any specific research about this
[00:24:52.400 --> 00:24:54.880]   It's just people talking about it and people doing it
[00:24:54.880 --> 00:24:59.120]   But I did find something that I kind of want to point out some of the logic you can chew on it
[00:24:59.120 --> 00:25:02.960]   I'm anybody finds any research on this please share it in the comment section
[00:25:02.960 --> 00:25:07.520]   But the idea here is that if when you take a look at uh, the size of antioxidants
[00:25:07.520 --> 00:25:13.520]   Okay, uh, and you've got you know, you got your regular antioxidants vitamin e coz in coenzyme q10
[00:25:13.520 --> 00:25:17.440]   You know glutathione, these are all you know, I take all these i've been taking these for years
[00:25:17.440 --> 00:25:22.960]   Obviously vitamin c you've got this carbon 60 molecule. It's 60 atoms. This was 176
[00:25:22.960 --> 00:25:27.680]   So it's one third the size of vitamin c, but then when you think hey, wow, you know molecular hydrogen
[00:25:28.000 --> 00:25:33.920]   H2 right so it's two atoms. It's 130th the size of a carbon 60
[00:25:33.920 --> 00:25:38.960]   molecule and carbon 60 is literally one third the size of vitamin c
[00:25:38.960 --> 00:25:41.120]   So it's really this little tiny guy right here
[00:25:41.120 --> 00:25:44.320]   And so the the thought the hypothesis
[00:25:44.320 --> 00:25:50.720]   Is that these little hydrogen two molecules if you got c60 in your body and you drink in hydrogen water
[00:25:50.720 --> 00:25:54.880]   These little molecules get trapped inside the carbon 60 and because carbon 60 can
[00:25:55.360 --> 00:26:00.960]   Breach the blood brain barrier you can go through the walls of everything that you've got as it's in it literally can
[00:26:00.960 --> 00:26:04.480]   I mean hydrogen can just literally leave your body right straight through your skin
[00:26:04.480 --> 00:26:08.080]   Uh, it goes through glass. You can't contain it if you have it in a glass jar
[00:26:08.080 --> 00:26:10.400]   It's going to seep out through the glass. It's so small
[00:26:10.400 --> 00:26:16.240]   But the idea though is that it what happens is these two basically help each other and help your body
[00:26:16.240 --> 00:26:17.840]   Okay, that's the theory
[00:26:17.840 --> 00:26:20.480]   I mean the hypothesis and you can kind of tell well
[00:26:20.480 --> 00:26:24.480]   Maybe that you know what they're saying that this little dot here, which is a hydrogen two
[00:26:25.040 --> 00:26:27.600]   To get stuck inside this and as this travels to your body
[00:26:27.600 --> 00:26:32.800]   Uh, maybe something to think about so one of the things I want to share with you was I went kind of like looking
[00:26:32.800 --> 00:26:37.120]   Okay, where's the research on this and I couldn't find anything, but I did find this really cool little um
[00:26:37.120 --> 00:26:39.760]   Uh
[00:26:39.760 --> 00:26:41.600]   Video
[00:26:41.600 --> 00:26:44.080]   And it's not working. Okay, here it goes
[00:26:44.080 --> 00:26:47.200]   Um, this is cool little video and this is what's cool about it
[00:26:47.200 --> 00:26:53.920]   It's this is a simulation of a helium atom inside of a bucky ball or a c60
[00:26:53.920 --> 00:27:00.400]   Fullering uh molecule and I think what's interesting is it kind of just gives you a visual of what it looks like
[00:27:00.400 --> 00:27:03.040]   I'm turning off the crappy music here. Um, so
[00:27:03.040 --> 00:27:05.920]   This is kind of like the the the simulation
[00:27:05.920 --> 00:27:09.920]   So the idea here is that the molecule the h2 molecule
[00:27:09.920 --> 00:27:12.880]   Which is this is a helium one a little bit bigger than an h2 molecule
[00:27:12.880 --> 00:27:17.120]   Uh, gets stuck inside this c60 and as it's in there and it's trying to you know
[00:27:17.280 --> 00:27:23.680]   Basically trapped in there the c60 molecule is taking it all over the body because it can cross all the different barriers
[00:27:23.680 --> 00:27:30.000]   And it can deliver literally be a delivery mechanism for the h2. So I thought that was pretty cool. Now. This is um, whoops
[00:27:30.000 --> 00:27:31.040]   I just turned
[00:27:31.040 --> 00:27:35.920]   Turned it off where it got stuck there and so there it's kind of like bouncing around inside the c60 molecule can't get out
[00:27:35.920 --> 00:27:39.600]   uh, the little blue jelly balls here represents the uh,
[00:27:39.600 --> 00:27:46.240]   vendor walls the the radius the atomic radii of of of of the uh, little mini solar system that each atom is
[00:27:46.640 --> 00:27:54.320]   And so you basically have this little little ball of molecule and you got another molecule trapped inside of it and that molecule right here
[00:27:54.320 --> 00:27:58.800]   Is able to cross the brain barrier and deliver this thing. I think that's fascinating
[00:27:58.800 --> 00:28:02.400]   I think it's a kind of a cute little visualization. It's the only thing I can find I can kind of
[00:28:02.400 --> 00:28:06.720]   You know describe or show what what this what process might look like, but I think it's pretty cool
[00:28:06.720 --> 00:28:10.320]   And I think it has some you know, um, it has some possible
[00:28:11.040 --> 00:28:16.160]   Mechaned delivery mechanisms is that no one has ever thought about before so that's possible one way of doing it
[00:28:16.160 --> 00:28:23.120]   Uh to you know to deliver. Hey, what are my videos popped up? Anyway, so it's one possibility for you to consider
[00:28:23.120 --> 00:28:26.800]   Uh, and if you want to amp up your, uh, you know your results
[00:28:26.800 --> 00:28:33.760]   So again think about that combining with hydrogen and just lastly right here boom right there the best source of h2
[00:28:33.760 --> 00:28:36.080]   Apples just eat an apple
[00:28:36.080 --> 00:28:42.960]   After you take some c60. Okay, and if you want to get fancier, you can you know get the little machines that make it or use the pills
[00:28:42.960 --> 00:28:45.120]   I can actually do a video on that later if you want
[00:28:45.120 --> 00:28:50.480]   Um, let me know if you do, but the idea here is you can you know, apples are an awesome source of hydrogen
[00:28:50.480 --> 00:28:54.480]   And definitely something to do with c60. Hey, that's what i'm learning
[00:28:54.480 --> 00:28:56.960]   Now next thing is I want to just share with you some information
[00:28:56.960 --> 00:29:00.800]   Okay, so before I end the video a couple of things I really want to point out so that you guys are out there
[00:29:01.120 --> 00:29:07.360]   researching 60 and interested in 60. Uh, there was a great. I mean awesome fantastic interview
[00:29:07.360 --> 00:29:10.640]   of fulfill cattle ano and max champi
[00:29:10.640 --> 00:29:12.560]   from
[00:29:12.560 --> 00:29:16.800]   The uh, the folks that make live longer lab c60 in olive oil
[00:29:16.800 --> 00:29:22.240]   Um, they were interviewed by a guy from a company called magnawave p emf
[00:29:22.240 --> 00:29:27.040]   And he interviewed these two guys on february 27 and in this interview. I mean, it's
[00:29:27.920 --> 00:29:34.080]   Link below. It's awesome because you know what he doesn't just talk about his product and help, you know in his testimonials
[00:29:34.080 --> 00:29:40.480]   He actually there's a there's a segment in here where he brings on a doctor who has uh, as uh, eye problems
[00:29:40.480 --> 00:29:47.120]   And and she actually has all of her scans or whatever her test results are showing her before and after
[00:29:47.120 --> 00:29:50.400]   Of her, you know, this is the lady taking the one whole bottle every sunday
[00:29:50.400 --> 00:29:53.200]   Um, a masculine degeneration knows it
[00:29:53.840 --> 00:30:01.600]   Of her eyes and basically she took c60 and you could literally see she shows up the shows the actual results
[00:30:01.600 --> 00:30:05.600]   So how c60 has reduced her degenerative
[00:30:05.600 --> 00:30:08.560]   Condition down to where she's practically normal
[00:30:08.560 --> 00:30:13.440]   Uh, and that's amazing because that's what we're missing and everyone's talking about how great c60 is
[00:30:13.440 --> 00:30:17.440]   But nobody's proving it. Okay, and so here's some proof if you need proof
[00:30:17.920 --> 00:30:23.680]   Watch this video. It's it's a great video, uh interview of the two guys from live longer lab
[00:30:23.680 --> 00:30:28.080]   So please, uh, you know, if you're interested in c60 boy. Don't miss that interview. That was a good one
[00:30:28.080 --> 00:30:33.120]   And then lastly, I just want to let everybody know that I had recently updated my c60 price guide
[00:30:33.120 --> 00:30:35.920]   I started doing this back last year. I think november or something
[00:30:35.920 --> 00:30:40.960]   Just for me and the people I know that were shopping or wouldn't kept asking which ones the the quote best one
[00:30:40.960 --> 00:30:44.240]   What's the cheapest one on that sort? So I threw together a pricing guide
[00:30:44.640 --> 00:30:48.640]   Um, and I split it off this time and into c60 just olive oil
[00:30:48.640 --> 00:30:52.800]   So you can do a apples to apples comparison or oil to oil comparison
[00:30:52.800 --> 00:30:58.560]   I guess and then all the c60 products in other oils because it does come in coconut avocado and sunflower
[00:30:58.560 --> 00:31:03.520]   If you're interested in that but here the olive olive oil guys the other brand other other types of oil guys
[00:31:03.520 --> 00:31:06.320]   And I do I do uh, you know, it's aligned by price
[00:31:06.320 --> 00:31:10.000]   So you can see right here by the best price per ounce, you know, what's the least?
[00:31:10.400 --> 00:31:13.600]   Expensive brand all the way down to the most expensive brand
[00:31:13.600 --> 00:31:21.200]   And what different sizes it comes in and how much and what they uh, uh, claim on their websites is the amount of c60 in the oil
[00:31:21.200 --> 00:31:27.040]   And the purity of the c60, uh, that's in there and what's real interesting is since uh, november
[00:31:27.040 --> 00:31:32.800]   Uh, I'm sorry. Well actually since the last time I updated the price guide was uh, january third
[00:31:32.800 --> 00:31:35.440]   Uh, you know, I'm keeping an eye on the market
[00:31:35.440 --> 00:31:40.240]   And what's real interesting is that the average price per ounce is now 11 dollars and 14 cents
[00:31:40.240 --> 00:31:42.160]   And that's down 13.3
[00:31:42.160 --> 00:31:45.360]   Uh, over the past month and a half or or two months
[00:31:45.360 --> 00:31:52.640]   So, you know, over since november till now the the market price of c60 in oil is going lower and lower and lower
[00:31:52.640 --> 00:31:57.920]   Because of increased competition and higher demand to and you know to grow the industry
[00:31:57.920 --> 00:32:02.640]   So that's a really good thing for all of us who are taking c60 because clearly
[00:32:02.640 --> 00:32:04.560]   It's really expensive, right?
[00:32:04.560 --> 00:32:09.360]   And so now the prices are going down because more people are buying and there's more people out there selling
[00:32:09.920 --> 00:32:13.120]   And so hey, this is really great link below if you want to take a peek at this
[00:32:13.120 --> 00:32:18.400]   But if you need some help picking out which oil you want, um, then there's a pricing guide that I create that can help you
[00:32:18.400 --> 00:32:23.280]   That's it. Hey, you know, thank you very much for sticking out this video with me
[00:32:23.280 --> 00:32:28.880]   Uh, I really hope that the information I come up with is beneficial to you and I really appreciate you
[00:32:28.880 --> 00:32:33.760]   Taking the time to watch my videos. So aloha. Thank you very much and have a great day

