
[00:00:00.000 --> 00:00:06.000]   >> Hello, everyone, and welcome to another Carbon 60 video by me, Kay Elmer.
[00:30:12.000 --> 00:30:24.000]   She takes the oil, gets sick of the oil, blames the C60, you know, but it's just like how in the world is this even possible that people are buying the thing, not even knowing what it is and then reading the label.
[00:30:24.000 --> 00:30:36.000]   And the answer to that question is they're people. That's what happens. So you can kind of see where if this keeps up and, you know, you start getting complaints to the FDA and et cetera, you know, the C60 market's going to kind of go through a little turmoil here.
[00:30:36.000 --> 00:30:50.000]   And then I also wanted to share this with you on a buyer education standpoint. You know, the profiteers have arrived. It's funny, you know, I mean, I think C60 came out in the study, right, the RAT study 2012 and all the biohackers were all over it.
[00:30:50.000 --> 00:30:57.000]   Some of the manufacturers started creating the C60 out of the body study, the RAT study came up right after 2012.
[00:30:57.000 --> 00:31:06.000]   So, you know, we're talking six years now and there's probably maybe a handful of vendors that have been selling it and a small group of people that have been taking in.
[00:31:06.000 --> 00:31:12.000]   And of course, it all changed last fall when it kind of got opened up to the world and became very popular.
[00:31:12.000 --> 00:31:27.000]   So, you know, six months later, the profiteers have arrived. And I wanted to point out that, you know, going on eBay back in the day, you know, when it got really popular that one day with that one interview from Sarah Westall, it was overnight, you know, everybody sold out.
[00:31:27.000 --> 00:31:41.000]   And at that point, I had actually bought my first bottle that night of Purple Power and I was also looking everywhere else to find it, you know, because I wanted to get another one about a week later and it was sold out everywhere you couldn't find it.
[00:31:41.000 --> 00:31:46.000]   And I remember distinctly back then, six months ago, that on eBay, there was nothing.
[00:31:46.000 --> 00:31:50.000]   There was nobody selling C60 oil on eBay at all, six months ago.
[00:31:50.000 --> 00:31:57.000]   And then on Amazon, all you could find was that one brand that, you know, Camilita was commenting about.
[00:31:57.000 --> 00:32:00.000]   And so, you know, it's gone from that to now.
[00:32:00.000 --> 00:32:05.000]   Now, if you go on to eBay and do a C60 search, it's pages.
[00:32:05.000 --> 00:32:14.000]   And what's unfortunate, I know I wanted to point out, is that, you know, look at this, someone's, you know, putting up, you know, I don't blame people for wanting to make a profit.
[00:32:14.000 --> 00:32:24.000]   But the whole point of what I am trying to do is I'm trying to share everything that I learned with anybody who listens so that it can help you.
[00:32:24.000 --> 00:32:31.000]   And most importantly, I'm trying to find a way to make it as inexpensive as possible because money is so tight for so many people.
[00:32:31.000 --> 00:32:36.000]   So that's my driving force. And my third one obviously is my dog. But, you know, I'm trying to do that.
[00:32:36.000 --> 00:32:42.000]   So when I see this, it really irritates me because, you know, somebody who just wants to just try to do something for their health.
[00:32:42.000 --> 00:32:48.000]   They go to eBay and they see this, "Oh, carbon-60 kit, make my own. Yeah, you know, that's good. I need that."
[00:32:48.000 --> 00:32:53.000]   And, you know, they might have to skip buying something so they can buy this instead.
[00:32:53.000 --> 00:32:57.000]   But here's the deal. This stuff is not worth 180 bucks.
[00:32:57.000 --> 00:33:01.000]   You know, if you wanted to buy this stuff off Amazon, here it is right here.
[00:33:01.000 --> 00:33:04.000]   It's $74 worth of stuff. You know, you've seen my videos, right?
[00:33:04.000 --> 00:33:12.000]   So it's just profiteers. And then you've got like this guy over here, you know, he's advertising, you know, carbon plus and he's selling it.
[00:33:12.000 --> 00:33:22.000]   And $43 for, you know, a four ounce bottle. But it sells on the website for $27. Go to the website. Buy for $27. Don't, you know.
[00:33:22.000 --> 00:33:31.000]   But so it's kind of like, you know, you've got misrepresentations, people stretching the use of the phrase, now you've got profiteers.
[00:33:31.000 --> 00:33:36.000]   So, you know, hey, it's like anything else in life, right? This is what happens.
[00:33:36.000 --> 00:33:39.000]   So I just wanted to just kind of share that with you.
[00:33:39.000 --> 00:33:45.000]   So if you are new to C60, be aware that you should go to the manufacturer's website.
[00:33:45.000 --> 00:33:55.000]   I have a pricing guide and that lists them. And you can make it yourself for less than $4, a little bottle of, you know, one ounce bottle.
[00:33:55.000 --> 00:34:01.000]   Or if you really don't want to do that, you could buy it. And you could buy it as low for like six bucks.
[00:34:01.000 --> 00:34:10.000]   So it's not going to have to cost you an arm and legs. So I just want you to know that and hopefully make the best decisions for your pocketbook.
[00:34:10.000 --> 00:34:15.000]   That's it. Thank you very much. I hope this has been educational and informative for you.
[00:34:15.000 --> 00:34:21.000]   I love your comments. Please keep sharing. Thank you for stopping by. I know your time is valuable and I really appreciate it.
[00:34:21.000 --> 00:34:23.000]   Aloha.

