
[00:00:00.000 --> 00:00:04.720]   Aloha everyone and welcome to another Tinkers Academy video. I'm your host Kay Elmer and today
[00:24:09.440 --> 00:24:14.640]   They're atomic forces. They're very weak. So you can if you and so it'll stay in the water
[00:24:14.640 --> 00:24:18.400]   It's a balancing act. So it'll it'll stay in the water and say suspended
[00:24:18.400 --> 00:24:23.760]   We have a very good suspension with our product. It's extremely well. I mean even with the in the oil
[00:24:23.760 --> 00:24:28.560]   Are you know, it's a colloidal suspension, you know, it will fall out after a couple of years
[00:24:28.560 --> 00:24:33.920]   I mean it's just slow process because water has viscosity and it drops at the bottom and you know
[00:24:33.920 --> 00:24:36.800]   So it falls out. We put it into a suspension
[00:24:37.200 --> 00:24:41.600]   It's not a dissolved solution. You cannot dissolve carbon 60 in water
[00:24:41.600 --> 00:24:48.560]   Um, but you can't dissolve carbon 60 in an oil on a lipid. So so they're a little bit different
[00:24:48.560 --> 00:24:52.080]   Okay, so yeah, that's that's pretty amazing
[00:24:52.080 --> 00:24:57.520]   Okay, so but then what about that, you know, because you're using it as a topical, but you know, the uh, you know all of the studies
[00:24:57.520 --> 00:25:01.200]   I've seen about uh c60 is very sensitive to uv
[00:25:01.200 --> 00:25:05.440]   Turns into a pro oxidant. So are there any cautions about using your product?
[00:25:05.840 --> 00:25:11.760]   Topically like, you know, maybe you don't go out in the sun or or have you found a way to uh, you know alleviate that aspect?
[00:25:11.760 --> 00:25:13.600]   Well
[00:25:13.600 --> 00:25:14.640]   You're right
[00:25:14.640 --> 00:25:16.240]   carbon 60
[00:25:16.240 --> 00:25:21.520]   Olive oil or these other oils are it's the oil that's light sensitive
[00:25:21.520 --> 00:25:26.960]   That's not the carbon carbons. Can you put it carbon is indestructible? It's
[00:25:26.960 --> 00:25:33.200]   Even it withstands temperatures up to 3200 degrees fahrenheit. It's very stable
[00:25:33.280 --> 00:25:35.280]   It's it's it's the most stable
[00:25:35.280 --> 00:25:37.440]   Element on a periodic chart
[00:25:37.440 --> 00:25:44.880]   And so it doesn't degrade with uv like people say they do it's when they see they don't really differentiate when they say carbon 60
[00:25:44.880 --> 00:25:47.280]   We did a study on it
[00:25:47.280 --> 00:25:51.600]   You know, you don't know whether they're talking about carbon 60 in olive oil or carbon 60 the powder
[00:25:51.600 --> 00:25:58.720]   They don't differentiate what what they're talking about but the carbon 60 is very stable. It does not degrade
[00:25:58.800 --> 00:26:04.640]   I've never seen it degrade never had a problem with it degrading, but the the oils do
[00:26:04.640 --> 00:26:09.520]   Yeah, they they they do get rancid even even a sunflower. Well, we'll get rancid
[00:26:09.520 --> 00:26:13.040]   You know, we have a tested for two years and 10 months
[00:26:13.040 --> 00:26:19.040]   So we we've had that certified third-party tested outside to a actual longevity
[00:26:19.040 --> 00:26:26.160]   You know aging aging process with the rancidity of the sunflower. Mm-hmm. Yeah. Oh, okay. That's okay. So
[00:26:26.640 --> 00:26:28.640]   Yeah, okay. So, you know for
[00:26:28.640 --> 00:26:32.880]   For the stuff, you know, I've been I've been answering questions about C60 for quite a few years
[00:26:32.880 --> 00:26:37.680]   So, okay. So what you're you know, I've actually seen I've done my own little tests and
[00:26:37.680 --> 00:26:40.160]   I haven't ever had
[00:26:40.160 --> 00:26:46.720]   Batch go rancid. I think it just the C60 mops up all the you know all the radical oxygen species and prevents
[00:26:46.720 --> 00:26:50.320]   Recidity, you know, but but what about okay? So if it does if carbon just
[00:26:50.320 --> 00:26:56.240]   Pure carbon 60 is not sensitive to uv because it's just carbon
[00:26:56.640 --> 00:27:02.240]   Right, but it is sensitive to oxidation right because I've had samples of C60 literally turned brown
[00:27:02.240 --> 00:27:06.400]   Uh, you know because it just got oxidized and I had just ended up throwing it away
[00:27:06.400 --> 00:27:11.440]   But is that is that another concern? I mean, that's not a concern right that you're putting
[00:27:11.440 --> 00:27:17.200]   C60 topically in that it could oxidize because you're going to absorb it faster than you could then it would oxidize is that
[00:27:17.200 --> 00:27:22.480]   You had some C60 in olive oil that went brown is what you're saying
[00:27:22.720 --> 00:27:28.880]   All right. Well, yeah, it's a couple of different versions, right? Like there was this one vendor out there that was selling
[00:27:28.880 --> 00:27:31.840]   pulver ice C60 and they had it in
[00:27:31.840 --> 00:27:37.840]   Pure alcohol like 100% alcohol. That was the carrier. All right, so they would just float around in there
[00:27:37.840 --> 00:27:41.200]   And then once the alcohol just you know evaporated
[00:27:41.200 --> 00:27:44.880]   In the container once you open the container, man. It was really fast
[00:27:44.880 --> 00:27:50.240]   The alcohol would and then then the C60 was black and then it would eventually just turn brown
[00:27:51.280 --> 00:27:53.280]   and then
[00:27:53.280 --> 00:28:01.040]   The carrier agent I would I've never had my carbon 60 our carbon 60 is black black black. It's
[00:28:01.040 --> 00:28:05.840]   It's extremely black. Um, we got we've done a video on it
[00:28:05.840 --> 00:28:08.800]   I mean, we put it into a little tray or something like that
[00:28:08.800 --> 00:28:13.840]   You can't even tell how much is in there because it's so black, you know that it absorbs all the light
[00:28:13.840 --> 00:28:20.880]   Okay, so so I guess that's the question and I guess pure carbon 60 is not sensitive to UV or oxidation
[00:28:20.880 --> 00:28:22.160]   It's just carbon
[00:28:22.160 --> 00:28:26.960]   I've never seen it and I've never you know, I've heard a lot of people talk about it
[00:28:26.960 --> 00:28:35.200]   But I think they're really referring to the oil to the oils. Yeah. Yeah. Yeah. Okay. So so you've got this tropical mist product a topical one
[00:28:35.200 --> 00:28:37.840]   It's uh great for pain and it's it's basically
[00:28:37.840 --> 00:28:45.040]   Sixty and water. So it's not it's not a water soluble C60. It's actual C60 right in water. Correct. Yeah
[00:28:45.040 --> 00:28:47.680]   It's called a colloidal suspension
[00:28:47.680 --> 00:28:54.800]   Okay. Yeah, it is water and carbon 60 those are the two main ingredients. We do put a little bit of glycerin in there
[00:28:54.800 --> 00:28:56.480]   um
[00:28:56.480 --> 00:28:59.920]   Just a very small amount like you know, like a
[00:28:59.920 --> 00:29:03.520]   CC per gallon and that's just to give it a little tactile
[00:29:03.520 --> 00:29:06.880]   tactile feel so you can feel it on your skin
[00:29:06.880 --> 00:29:09.440]   It gives it a little bit. It gives it a nice feel
[00:29:09.440 --> 00:29:14.560]   And so so we put that in there after we get it mixed after the fact it's not doesn't aid in
[00:29:15.040 --> 00:29:18.960]   Putting it into a suspension. I know that glycerin is bipolar
[00:29:18.960 --> 00:29:24.480]   So, but but that's not the reason why we put it in there. It has nothing to do with putting it keeping it in suspension
[00:29:24.480 --> 00:29:27.040]   That's not what we use it for and that we don't need it
[00:29:27.040 --> 00:29:32.880]   Uh, we just put it in there just as a little bit of a tactile feel. So this is a tiny tiny amount
[00:29:32.880 --> 00:29:37.600]   Okay, and so so then the other two new products that you've launched in the last couple of years
[00:29:37.600 --> 00:29:42.400]   There's you've you've actually you know joined the program with so many other companies
[00:29:42.400 --> 00:29:44.640]   But you know now you're selling a c60 for pets
[00:29:44.640 --> 00:29:50.560]   But is that actually a different formula than the the c60 for humans your flagship product?
[00:29:50.560 --> 00:29:55.200]   I mean, it's it's it's identical. What's inside the bottle is identical
[00:29:55.200 --> 00:30:01.120]   With the 45 day supply with the dropper they'd see their dog would see the bottle
[00:30:01.120 --> 00:30:03.360]   Did not you know pets have a natural?
[00:30:03.360 --> 00:30:07.120]   They jumped up on the owner and he you know two hands just build a bottle
[00:30:07.120 --> 00:30:12.320]   And so we put it in an unsquirt bottle. It comes out as a stream and we regulate it
[00:30:12.480 --> 00:30:17.440]   One squared for a cat five squares for a large dog. Okay. That's actually pretty smart
[00:30:17.440 --> 00:30:19.680]   Because I give my dogs c60
[00:30:19.680 --> 00:30:23.920]   But I use a dropper and the only way to get them to take it is I got to put the dropper in their mouth
[00:30:23.920 --> 00:30:27.040]   And then I got to go and disinfect the dropper every single time
[00:30:27.040 --> 00:30:29.440]   So yeah, the spray is this pretty smart
[00:30:29.440 --> 00:30:32.160]   and then now the face serum is that
[00:30:32.160 --> 00:30:36.400]   Um, what are what what's the case? So it's your c60, but what's the carrier?
[00:30:36.400 --> 00:30:39.440]   What's like is what are you using as as a as a liquid?
[00:30:39.840 --> 00:30:45.840]   Well, well, we had people using the regular 45 day topically we have a roll on to the same product in the bottle
[00:30:45.840 --> 00:30:46.800]   Okay
[00:30:46.800 --> 00:30:49.920]   Same thing, but we had a roll on and then we're putting that on there in effect
[00:30:49.920 --> 00:30:54.400]   You know, they were using the 45 on topically and we said jeez a penetrant my my knee pain
[00:30:54.400 --> 00:30:56.400]   It floods it floods your knee
[00:30:56.400 --> 00:31:02.480]   Locally by putting it on topically the carbon 60 molecules go in and flood that particular part of your body
[00:31:02.480 --> 00:31:08.080]   Whether it's over in the organ or on your face skin or on age spots or anything like that
[00:31:08.560 --> 00:31:10.880]   Oh, it really worked really really well, but
[00:31:10.880 --> 00:31:17.120]   And I had I had a good friend of mine and and she was looking at she said I love your product
[00:31:17.120 --> 00:31:24.560]   But I don't like the oil of the sunflower oil staying on my face. You know, it's it's kind of oily, you know, and so she looked at different
[00:31:24.560 --> 00:31:32.480]   Uh carrier oils and we found out that we found a really high quality cosmetic oil. It's called squalane oil
[00:31:32.880 --> 00:31:40.160]   It's not squalene, which is derived from shark liver and olive oil. This is squalane, which is derived from sugar cane
[00:31:40.160 --> 00:31:46.720]   So there's no shark livers, you know squished out and get the squalene and and basically
[00:31:46.720 --> 00:31:50.800]   The squalene actually is very similar to the collagen you have in your skin
[00:31:50.800 --> 00:31:56.160]   And it actually you know, the car the face on product will actually promote collagen production in your skin
[00:31:56.480 --> 00:32:04.720]   The carbon 60 will actually neutralize the free radical damage on your skin, which causes a dry out and look old and rankle
[00:32:04.720 --> 00:32:06.560]   is um
[00:32:06.560 --> 00:32:11.920]   Uh from the carbon 60 from the uv from the sunlight you get the algebra of light that knocks electrons off
[00:32:11.920 --> 00:32:16.160]   And the carbon 60 obviously puts them back on so we've had very good luck with
[00:32:16.160 --> 00:32:22.880]   You know people using that it feels wonderful. I mean we put it in a pink bottle because it's mostly
[00:32:23.360 --> 00:32:26.480]   You know, women are using the product quite a bit
[00:32:26.480 --> 00:32:31.920]   Oh, that's great. Okay. All right. Yeah, that's interesting. Okay. Um, thanks for explaining that
[00:32:31.920 --> 00:32:34.320]   I was really kind of curious about the new products out there
[00:32:34.320 --> 00:32:39.440]   Uh that you've got going so now I was reading the website and listening to prior interviews
[00:32:39.440 --> 00:32:41.440]   And I think one of the things that stands out
[00:32:41.440 --> 00:32:44.400]   About, you know, uh, your carbon 60
[00:32:44.400 --> 00:32:48.640]   Is the particulate size and that seems to be something you talk a lot about
[00:32:48.640 --> 00:32:52.640]   And I kind of wanted to just you know, I know you've mentioned this so many times in other interviews
[00:32:52.640 --> 00:32:57.920]   But I I kind of want to explore that a little bit and just kind of understand because when I was looking at your site
[00:32:57.920 --> 00:33:02.720]   You've you've actually done the research where you this is right off of the mobs website
[00:33:02.720 --> 00:33:05.840]   Uh, it's quite a lot of data, but right here
[00:33:05.840 --> 00:33:11.920]   Um, there was bob had done a study, you know, I was wondering if you could just talk to this where you looked at yours
[00:33:11.920 --> 00:33:16.800]   You know your c60 went I guess to other c60 powder, right?
[00:33:16.800 --> 00:33:19.120]   See how these are all powders
[00:33:19.120 --> 00:33:22.320]   And then you did a comparison because I actually did a video way back
[00:33:22.800 --> 00:33:27.040]   Uh years ago. I did I did kind of the same thing. I looked at four other
[00:33:27.040 --> 00:33:32.560]   Uh c60 powders and I used a little microscope and all that so you did yours, but you did
[00:33:32.560 --> 00:33:35.440]   Uh with an electron microscope, which is awesome
[00:33:35.440 --> 00:33:39.840]   And you've compared yourself to four other or five other products out there
[00:33:39.840 --> 00:33:44.720]   Can you talk about what your findings were when you took a look at the other
[00:33:44.720 --> 00:33:50.560]   C60 powders on the market compared to yours and and what did you find?
[00:33:51.840 --> 00:33:53.520]   Well
[00:33:53.520 --> 00:33:57.920]   We looked at our powder underneath the it's a transmission electron microscope
[00:33:57.920 --> 00:34:02.800]   It was done third party testing. Uh, it was done at the university of colorado
[00:34:02.800 --> 00:34:10.320]   Um, uh, whether excuse me school of mine. So I'm sorry. There was a school of mine. So there were minerals type colorado based
[00:34:10.320 --> 00:34:16.320]   Um materials engineering college and so the first column on the far left that that's our product
[00:34:16.320 --> 00:34:19.760]   And then we have vendor number two three four five and six
[00:34:19.840 --> 00:34:24.320]   Those are other of the most leading producers of the carbon 60 at the time
[00:34:24.320 --> 00:34:27.360]   Uh, this was done. Oh gosh 2018 2018
[00:34:27.360 --> 00:34:29.840]   Yeah 2018
[00:34:29.840 --> 00:34:34.320]   And, um, we so we we took samples of it put them in a transmission electron microscope
[00:34:34.320 --> 00:34:42.800]   And it took pictures of them at different magnifications. Now the top row is a very course magnification. It's only 155
[00:34:42.800 --> 00:34:46.000]   You know, you're not going to see anything too much with that
[00:34:46.560 --> 00:34:49.840]   Uh, then then as we go down the page, we increased the magnification
[00:34:49.840 --> 00:34:55.920]   And you can see when you get that down a little bit further, let's say look at the 2850 magnification
[00:34:55.920 --> 00:35:02.720]   Yeah, you can see like we ours is very very fine looking dust and these other particles are very large
[00:35:02.720 --> 00:35:06.880]   You know, um, and if you continue down to the bottom of the page
[00:35:06.880 --> 00:35:10.080]   You can see that the one that we're looking at is on the right there
[00:35:10.080 --> 00:35:13.600]   Yeah, you see that little other looking kind of thing sticking down there
[00:35:13.840 --> 00:35:18.160]   You can see one of those little points is ours is much smaller than that
[00:35:18.160 --> 00:35:22.160]   Now if you back up to it, so so this is the highest magnification at the bottom
[00:35:22.160 --> 00:35:29.200]   It gets really really high mate. Now we did find on so you can see our carbon 60 on the far lower left there
[00:35:29.200 --> 00:35:33.520]   Um, the other they're spherical they're 20 nanometers and average size
[00:35:33.520 --> 00:35:39.520]   Now we did find one of something that looked very very similar in vendor number two
[00:35:39.600 --> 00:35:45.120]   But we searched over the entire sample and we only found one independent molecule
[00:35:45.120 --> 00:35:49.360]   Now that's the one that really does a trick that has a bioavailability
[00:35:49.360 --> 00:35:53.360]   And uh, but but most of the other ones is just grow back up again
[00:35:53.360 --> 00:36:00.640]   You can see they're all clustered together and that's the difference between the solvent process the solvent extraction process
[00:36:00.640 --> 00:36:02.480]   will cause
[00:36:02.480 --> 00:36:07.520]   as you dry the uh solvent off of the carbon 60 powder
[00:36:08.240 --> 00:36:12.880]   Uh, once you you know, you increase its purity which purity and we'll talk about that
[00:36:12.880 --> 00:36:17.360]   It's only purity is really the ratio of carbon 60 to carbon 70
[00:36:17.360 --> 00:36:19.680]   It's not really how clean it is
[00:36:19.680 --> 00:36:25.040]   You can have 99 pennies in a dime and a bucket of mud and add another half a bucket of mud
[00:36:25.040 --> 00:36:28.880]   You still have 99 pennies in one dime and that's what they call period
[00:36:28.880 --> 00:36:32.400]   It's only the ratio of the carbon 60 to carbon 70 whoever picked that term
[00:36:32.400 --> 00:36:34.960]   It was not a materials engineer. It should be ratio
[00:36:35.440 --> 00:36:42.720]   But you can see when you dry the solvents off and everybody's seen fine silty mud when mud dries
[00:36:42.720 --> 00:36:46.960]   It dries up and pulls together gets like a peanut butter consistency
[00:36:46.960 --> 00:36:50.640]   Kind of kind of semi-dry and then it dries some more and it cracks
[00:36:50.640 --> 00:36:56.560]   And and and what happens is that's what they have here because all the all the moisture or solvent in this case
[00:36:56.560 --> 00:37:02.720]   Evaporates out between the particles and it pulls all the particles together in the carbon 60 at the high temperatures
[00:37:03.200 --> 00:37:08.640]   Of of drying process of 460 degrees Fahrenheit and the vacuum they put it under
[00:37:08.640 --> 00:37:15.040]   Causes all the particles pulled together and mud crack just like mud does and so they left with these large chunks
[00:37:15.040 --> 00:37:20.960]   And that's why everybody mixes it for two weeks. That's why they mortise and pestle grind it time to bake those chunks down
[00:37:20.960 --> 00:37:24.160]   You can buy in carbon 60 powder many of you have
[00:37:24.160 --> 00:37:29.680]   From these vendors and you can actually see it a little tiny particles all clustered together with the naked eye
[00:37:29.920 --> 00:37:34.240]   I mean they're huge and that that's why they mix it for two weeks to try to break these down
[00:37:34.240 --> 00:37:40.160]   And they do some of them do break down to some extent, but they're still not that's why they always filter it with that
[00:37:40.160 --> 00:37:42.640]   uh point two micron or
[00:37:42.640 --> 00:37:45.040]   200 and
[00:37:45.040 --> 00:37:48.800]   What whatever you there was 200 mic to 200 nanometer size
[00:37:48.800 --> 00:37:53.120]   A filter because they fit they try to filter out the large chunks that don't break apart
[00:37:53.120 --> 00:37:57.280]   So our process that we produce that we produce we produce
[00:37:58.160 --> 00:38:01.120]   All of them they're all nice spherical round all uniformly
[00:38:01.120 --> 00:38:06.240]   Somewhat uniformly shaped very close to 20 nanometers so the bioavailability
[00:38:06.240 --> 00:38:12.240]   With these other clusters are they're like 1,200 nanometers at best
[00:38:12.240 --> 00:38:19.840]   So for every one of their clusters in the same volume we have 200,000 particles that are independent
[00:38:19.840 --> 00:38:24.240]   C60 molecules that are independent so they're much more bioavailable
[00:38:25.440 --> 00:38:27.840]   Okay, so let me see if I understand this because um
[00:38:27.840 --> 00:38:34.000]   first of all when I did you know when I did the research on on on processing and solvents and
[00:38:34.000 --> 00:38:39.280]   I understand that you know a you know, it's a crystalline carbon allotrope
[00:38:39.280 --> 00:38:45.200]   Um, but the reason that it's clustered or clumps together is because of the solvents, right?
[00:38:45.200 --> 00:38:50.480]   Causes the causes the crystallization of the c60 and it forms these grains
[00:38:51.520 --> 00:38:57.040]   um and as as opposed to individual molecules and these grains, I believe like one one
[00:38:57.040 --> 00:39:04.400]   manufacturer sells a pulverized version and I think they're quote that they've got their particulate size down to
[00:39:04.400 --> 00:39:06.800]   300 nanometers
[00:39:06.800 --> 00:39:13.440]   Uh, but it's still huge, right? That's yeah. Yeah, okay. So yeah, I guess from a bioavailability standpoint
[00:39:13.440 --> 00:39:18.560]   I guess that's what I you know, I as I've been studying this thing from a bioavailability standpoint
[00:39:19.040 --> 00:39:23.680]   Um, I've read one toxicology study where they went and they dissected, you know
[00:39:23.680 --> 00:39:27.360]   The animals after they were exposed to c60 and they were finding
[00:39:27.360 --> 00:39:34.560]   Particulates lodged in various organs anywhere from 50 nanometers to 150 to 300 nanometers, right?
[00:39:34.560 --> 00:39:40.400]   After after they were exposed to c60 and and what and can is it safe to deduce or is it
[00:39:40.960 --> 00:39:49.680]   reasonable to deduce that if the if the clinicians were finding these particles lodged in the organs of these of these rats
[00:39:49.680 --> 00:39:55.600]   That they a they they weren't digested. They weren't dissolved. They weren't absorbed and they weren't bio available
[00:39:55.600 --> 00:40:01.840]   And in other words because I could not find any studies out there that have done a study about particulate size as opposed
[00:40:01.840 --> 00:40:04.000]   You know as in relation to bioavailability
[00:40:04.000 --> 00:40:08.240]   However, so my question is is if I deduce backwards from this other study I just mentioned
[00:40:08.800 --> 00:40:15.760]   Then is it safe to to to just you know, is it a reasonable assumption that says hey if they're finding these large particulates
[00:40:15.760 --> 00:40:22.240]   After you know after they've been exposed that large particulates are not bio bio available
[00:40:22.240 --> 00:40:29.920]   Well, yeah, that's a safe assumption, right? Because they're very safe assumption. Well, they are to some extent now if you look at
[00:40:29.920 --> 00:40:36.720]   The antioxidants you find in foods like red wine and in berries and so forth like that
[00:40:37.680 --> 00:40:42.720]   The the particle size is about the same particle size as venda two through six
[00:40:42.720 --> 00:40:46.960]   Okay, they're they're 1200 nanometers across and they're very big
[00:40:46.960 --> 00:40:48.560]   So what they have
[00:40:48.560 --> 00:40:53.120]   You know, in some of them when they do mix it they do break down to some extent, but not all of them
[00:40:53.120 --> 00:40:59.120]   You know, some of them break down and I'm sure they don't all get down to like a 20 nanometer size like that one particle
[00:40:59.120 --> 00:41:02.720]   But I'm sure they get a few of them and that those are the most beneficial
[00:41:02.720 --> 00:41:05.680]   um, but so basically they have a
[00:41:06.640 --> 00:41:10.720]   Something that's comparable to a good antioxidant like red wine and berries
[00:41:10.720 --> 00:41:13.040]   Now if you ate red wine and berries
[00:41:13.040 --> 00:41:17.120]   You'd probably get the symbol that which know every day which very few people do
[00:41:17.120 --> 00:41:21.840]   You'd probably get the similar effect of taking a daily serving of these other vendors
[00:41:21.840 --> 00:41:24.400]   So they're they're probably pretty equivalent
[00:41:24.400 --> 00:41:27.440]   Okay, because you know i'm looking at this pre this one
[00:41:27.440 --> 00:41:32.800]   Picture right here. It's at 120,000 magnification and you can see
[00:41:33.360 --> 00:41:36.960]   The spheres right that which what carbon 60 is supposed to look like that's the molecule
[00:41:36.960 --> 00:41:44.800]   But uh, but these are you saying that these spheres right here are clusters of carbon 60 molecules up to 20
[00:41:44.800 --> 00:41:47.360]   Uh, you know like 20 nanometers
[00:41:47.360 --> 00:41:51.120]   Uh, yes and no now it's still not
[00:41:51.120 --> 00:41:54.720]   The highest magnification look way down on the left there
[00:41:54.720 --> 00:42:02.960]   Um, you will see they they what we believe we produce and we we don't know for sure because it's hard to do
[00:42:03.360 --> 00:42:04.640]   Boy, that's kind of
[00:42:04.640 --> 00:42:07.120]   We're making what's called a nano onion
[00:42:07.120 --> 00:42:14.800]   Okay, okay, which is basically a carbon 60 molecule with a snowball or the gerali jelly roll
[00:42:14.800 --> 00:42:20.800]   Of pentagon is the hexagons that go up to uh, uh, uh, 20 nanometers
[00:42:20.800 --> 00:42:24.320]   So the actual carbon 60 molecule truly is only one nanometer
[00:42:24.320 --> 00:42:27.680]   Okay, it's you know plus a little bit there's different there's arguments on that
[00:42:27.680 --> 00:42:31.680]   But call it one nanometer and so what we're making is 20 nanometers
[00:42:31.840 --> 00:42:34.320]   So yeah, we believe what we have is a jelly roll
[00:42:34.320 --> 00:42:38.160]   So we don't know if it's truly the carbon 60 molecule giving up the
[00:42:38.160 --> 00:42:43.680]   uh, the the electron which we we have in our product because we had it tested with the um, um,
[00:42:43.680 --> 00:42:44.640]   um
[00:42:44.640 --> 00:42:47.920]   Mass back time of flight and show it does show carbon 60
[00:42:47.920 --> 00:42:49.920]   But it also
[00:42:49.920 --> 00:42:52.720]   You know these pentagons and hexagons of carbon are very
[00:42:52.720 --> 00:43:00.640]   Very useful for your body. That's why you kind of eat food for the you know, it helps with the the dna and rna
[00:43:01.120 --> 00:43:06.880]   um, many nucleotides use these pentagons and hexagons of carbon rings, uh, to
[00:43:06.880 --> 00:43:09.840]   uh, you know
[00:43:09.840 --> 00:43:12.720]   Produce these things in your body that your body's very efficient with
[00:43:12.720 --> 00:43:19.120]   So carbon 60 in this very small formula, you know, even if you had carbon
[00:43:19.120 --> 00:43:23.200]   It was probably activated charcoal that was very bioavailable
[00:43:23.200 --> 00:43:26.480]   You you would see some positive results with it
[00:43:26.480 --> 00:43:30.960]   You know, but the carbon 60 molecule being that is produced so small that ours is so small
[00:43:31.280 --> 00:43:35.520]   It makes it very very bioavailable. Okay. So for all these years now, I'm thinking
[00:43:35.520 --> 00:43:42.400]   You know, I've been making my own c6. You have also tried multiple different commercial products, but basically
[00:43:42.400 --> 00:43:46.000]   All everything everyone else is, um
[00:43:46.000 --> 00:43:51.760]   Large particulate size even if you pulverize it, you're never going to get below 300 mostly
[00:43:51.760 --> 00:43:59.360]   Um, right. That's mortar pestle pulverization, but but you know, so but even then you've got these large particulates
[00:43:59.440 --> 00:44:04.160]   And they still perform as c60 wood right because it's clear that they're working
[00:44:04.160 --> 00:44:07.680]   Uh, I'm a living rat living test rat
[00:44:07.680 --> 00:44:15.040]   That can prove that it's working. Uh, so even at even at that large size, you know, you're getting the benefits of c60
[00:44:15.040 --> 00:44:20.400]   However, it's not as bio available as individual molecules because all this time, you know
[00:44:20.400 --> 00:44:24.560]   Before I did some research on on what you have done here on your studies
[00:44:25.040 --> 00:44:31.920]   I was always under the impression that I had individual molecules of c60 floating around inside of liposomes, right
[00:44:31.920 --> 00:44:35.360]   That would then get pulled into my cells and then it would do its thing
[00:44:35.360 --> 00:44:40.320]   But I didn't realize that it was literally clusters of c60 molecules that were being
[00:44:40.320 --> 00:44:46.080]   Floating around my body doing what c60 does and then the other products that are not yours are
[00:44:46.080 --> 00:44:51.360]   Larger, you know, particulates, but I guess once it gets up to you know from that one study
[00:44:51.360 --> 00:44:59.120]   I just mentioned when it gets up to a 50 or 150 300, you know, it's not going to be uh, you know absorbed by the body
[00:44:59.120 --> 00:45:06.000]   But okay, that's real. They will to some extent like a good antioxidant which you get in food
[00:45:06.000 --> 00:45:11.280]   So they all all these other products you do have benefits with them. I'm not going to say they do they do
[00:45:11.280 --> 00:45:17.760]   They that's why the carbon 60 industry is boom taken off like crazy. Okay. Um, do they do have benefits with them?
[00:45:17.760 --> 00:45:19.760]   but not
[00:45:19.760 --> 00:45:22.480]   But they have they all have trace solvents in them
[00:45:22.480 --> 00:45:28.320]   Yeah, they just don't have this the particulate size and they do get caught in your your liver
[00:45:28.320 --> 00:45:30.960]   and your the nephrons of the kidneys and so forth like that
[00:45:30.960 --> 00:45:37.040]   Okay, so yeah, okay. So my my point was just to understand that study you did was
[00:45:37.040 --> 00:45:41.120]   How yours compares to everyone else and that smaller?
[00:45:41.120 --> 00:45:47.360]   Presumably is way more bio available. Uh, okay, so that's that and then the other idea here
[00:45:47.760 --> 00:45:52.400]   is the concept that uh all of the other, um, commercial products out there
[00:45:52.400 --> 00:45:57.680]   You know, basically emulate the fathymusus study on the rats right back in 2012
[00:45:57.680 --> 00:46:03.920]   That kicked off c60 as a supplement, but they all emulate that and they produce lipo fullerenes
[00:46:03.920 --> 00:46:09.600]   By stirring, you know in oil, um, and but yours is not stirred in oil like that. Correct
[00:46:09.600 --> 00:46:13.280]   No, we we don't serve two weeks or anything like that
[00:46:13.360 --> 00:46:16.960]   We we put it in our sunflower oil and basically two minutes
[00:46:16.960 --> 00:46:21.120]   We we stir it up we mix it up because all of our particles are already separated
[00:46:21.120 --> 00:46:26.800]   So we don't have to mix it for two weeks. We just mix it for two minutes and that help keeps our costs down also
[00:46:26.800 --> 00:46:29.440]   You know, yeah. Oh, yeah
[00:46:29.440 --> 00:46:31.440]   So so there's a huge there. Okay, so
[00:46:31.440 --> 00:46:37.680]   But but here's the thing though. I mean other commercial products out there that are calling their products lipo fullerenes
[00:46:38.320 --> 00:46:43.920]   Um, not all of the c60 is converted to lipo fulleren. It's still c60 and suspension
[00:46:43.920 --> 00:46:46.720]   Even after you filter if you filter, right?
[00:46:46.720 --> 00:46:48.240]   I mean, I just want to just get your take on this
[00:46:48.240 --> 00:46:51.600]   But even if I followed the fathymusa formula, right?
[00:46:51.600 --> 00:46:56.320]   And I stirred for two weeks and then I filtered with a point two micron filter
[00:46:56.320 --> 00:46:59.200]   I'm still getting c60 particulates
[00:46:59.200 --> 00:47:01.120]   under point two
[00:47:01.120 --> 00:47:04.640]   in my my final product so i've got lipo fullerenes and
[00:47:05.280 --> 00:47:13.920]   Suspended c60 particulates in my final product even a commercial or diy. Is that correct? That is correct. All right. Okay, so
[00:47:13.920 --> 00:47:19.040]   Large particles. Yeah. Yeah, yeah, cuz um, yeah, I know that yeah another
[00:47:19.040 --> 00:47:21.040]   individual I know
[00:47:21.040 --> 00:47:26.960]   Did a study of commercial products and they ran them through a centrifuge and it just the centrifuge shows
[00:47:26.960 --> 00:47:32.960]   Um that not all the other I mean all the other commercial products out there have suspended c60
[00:47:32.960 --> 00:47:36.720]   So, you know, my whole thing was up up until I did all the study recently was like
[00:47:36.720 --> 00:47:41.360]   I always suspected or I always thought that if I ingest a c60
[00:47:41.360 --> 00:47:46.960]   oil product even in my own that I'm only benefiting from the lipo fullerenes
[00:47:46.960 --> 00:47:52.080]   but I guess from your research because your product doesn't convert to lipo fullerenes and your
[00:47:52.080 --> 00:47:56.000]   your customers and people using your product are also being able to
[00:47:56.000 --> 00:47:58.880]   benefit from c60 is that
[00:47:59.360 --> 00:48:01.360]   c60 has a suspension
[00:48:01.360 --> 00:48:04.000]   also has
[00:48:04.000 --> 00:48:09.120]   Um major benefits and there it's not just simply passed through the digestive system. Is that correct?
